M,C,d,L,R,T,N,Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N_stat
0.999,24.246,0.793,83.817,1.046,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.002,24.131,0.486,84.025,1.134,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.99,24.281,0.606,84.222,1.044,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.97,24.285,0.669,84.067,0.934,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.977,24.317,0.475,83.995,1.089,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.944,24.135,0.457,83.914,1.048,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.0,24.274,0.644,84.14,0.971,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.012,24.305,0.349,84.187,1.088,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.989,24.311,0.816,83.83,1.019,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.009,24.27,0.365,84.171,1.106,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.017,24.329,0.481,84.159,1.093,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.009,24.288,0.558,84.069,1.132,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.02,24.366,0.356,84.132,1.075,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.997,24.268,0.494,84.03,1.051,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.033,24.415,0.371,83.976,1.095,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.964,24.35,0.679,84.045,1.074,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.989,24.382,0.788,84.22,1.037,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.986,24.398,0.548,84.044,0.993,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
0.991,24.209,0.508,84.096,1.125,2025-01-02 11:56:18,0.0,9.9,6.1,8.03,1.16,0,0
1.009,24.328,0.633,84.06,1.083,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.979,24.307,0.512,83.92,1.113,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.988,24.339,0.585,83.97,1.029,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.976,24.228,0.447,84.14,0.979,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.966,24.268,0.912,84.11,1.006,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.966,24.301,0.886,83.9,1.035,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.973,24.348,0.668,84.1,1.014,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.974,24.289,0.535,83.98,1.03,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.987,24.356,0.5,84.21,1.098,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.992,24.359,0.422,83.89,1.047,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.986,24.374,0.457,84.24,1.103,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
1.002,24.374,0.452,84.28,1.052,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.97,24.328,0.57,84.05,1.11,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.979,24.319,0.52,83.98,1.014,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.964,24.256,0.603,83.97,1.008,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.998,24.365,0.455,84.18,0.999,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
1.016,24.412,0.439,84.25,1.025,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.976,24.286,0.507,83.84,1.055,2025-01-02 13:01:00,1.0,11.6,7.2,8.76,0.99,0,1
0.992,24.332,0.655,83.92,1.039,2025-01-02 19:26:09,2.0,10.3,6.1,8.59,1.14,0,2
0.983,24.328,0.894,84.24,1.068,2025-01-02 19:26:09,2.0,10.3,6.1,8.59,1.14,0,2
0.96,24.312,0.671,83.96,1.08,2025-01-02 19:26:09,2.0,10.3,6.1,8.59,1.14,0,2
1.006,24.279,0.731,84.01,1.137,2025-01-02 19:26:09,2.0,10.3,6.1,8.59,1.14,0,2
