M,C,d,L,R,T,N,Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N_stat
0.699,20.015,0.322,88.743,1.028,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.735,20.046,0.42,89.089,1.092,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.729,19.99,0.494,89.286,1.094,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.694,19.955,0.487,88.884,0.933,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.72,20.119,0.497,89.109,1.101,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.722,19.94,0.521,89.0,1.172,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.7,20.006,0.479,88.761,1.035,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.695,19.94,0.42,89.226,1.01,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.741,19.981,0.409,88.712,1.137,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.744,20.075,0.371,88.855,1.144,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.69,20.046,0.515,88.74,1.016,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.726,20.028,0.458,89.052,1.026,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.749,20.015,0.595,88.758,1.195,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.7,19.959,0.462,89.188,0.952,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.73,19.984,0.396,88.931,1.097,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.699,19.959,0.34,89.231,1.014,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.687,19.999,0.441,88.905,1.087,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.71,20.025,0.507,89.203,1.05,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.7,19.974,0.532,88.971,1.007,2025-01-02 12:50:40,0.0,31.8,21.8,26.78,2.72,0,0
0.726,20.087,0.427,88.95,1.092,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.702,19.861,0.577,89.324,1.067,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.681,19.959,0.434,88.844,0.999,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.706,19.927,0.455,89.175,1.012,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.71,19.981,0.402,89.011,0.986,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.723,19.974,0.532,89.054,1.06,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.698,20.009,0.48,88.86,1.048,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.713,20.015,0.532,88.936,1.054,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.751,20.125,0.434,89.306,1.132,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.686,19.918,0.423,89.061,1.06,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.693,19.877,0.333,89.25,1.036,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.715,19.996,0.353,88.603,1.072,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.7,19.943,0.56,88.918,0.949,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.707,20.097,0.378,88.979,1.046,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.704,19.962,0.448,88.936,0.993,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.713,20.021,0.413,88.574,1.062,2025-01-02 21:15:55,1.0,35.5,19.6,28.4,3.7,0,1
0.727,19.93,0.521,89.234,1.094,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.703,19.927,0.41,89.131,1.127,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.727,20.034,0.381,88.79,1.193,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.682,19.817,0.553,89.163,0.985,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.734,19.908,0.462,89.185,1.188,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.722,19.999,0.43,88.632,1.095,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.741,20.018,0.455,89.1,1.152,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.744,19.974,0.469,89.126,1.126,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.706,19.993,0.319,88.698,1.066,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.711,19.896,0.577,88.708,1.086,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.7,19.877,0.431,88.86,1.062,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.701,19.845,0.469,88.777,1.002,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.696,19.877,0.651,89.024,1.018,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.679,19.902,0.234,88.944,1.009,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.706,19.889,0.287,88.913,1.053,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.673,19.849,0.494,89.027,0.935,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.728,20.021,0.287,89.19,1.202,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.709,19.965,0.571,88.961,1.1,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.721,19.921,0.448,88.553,1.156,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.701,19.921,0.455,89.226,1.023,2025-01-03 11:30:32,2.0,31.1,21.7,26.27,2.63,0,2
0.706,19.943,0.584,88.941,1.075,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.722,19.874,0.634,88.986,1.127,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.721,20.025,0.392,89.186,1.144,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.679,19.908,0.357,88.622,1.06,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.699,19.94,0.427,88.908,0.98,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.74,19.962,0.49,88.91,1.188,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.68,19.946,0.676,88.547,1.024,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.727,19.971,0.595,88.757,1.161,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.713,19.94,0.55,89.128,1.08,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.71,19.981,0.494,88.724,1.063,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.681,19.883,0.413,89.106,0.963,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.708,19.933,0.357,88.682,1.132,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.715,19.93,0.476,89.192,1.127,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.722,19.981,0.497,89.084,1.124,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.725,19.996,0.56,88.897,1.076,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.669,19.952,0.612,89.106,1.003,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.709,19.962,0.364,88.906,1.106,2025-01-03 13:00:38,3.0,35.1,20.9,27.51,3.82,0,3
0.706,19.933,0.42,89.056,1.106,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.692,19.855,0.641,89.194,1.066,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.753,20.097,0.417,89.041,1.152,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.697,19.999,0.504,88.892,1.076,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.717,19.915,0.43,88.879,1.198,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.723,19.943,0.329,89.216,1.105,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.692,19.955,0.567,88.958,1.008,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.729,19.996,0.367,88.894,1.146,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.696,19.943,0.574,89.048,0.993,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.702,19.965,0.409,88.962,1.044,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.689,19.977,0.298,88.822,0.989,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.737,19.99,0.465,88.903,1.151,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.701,19.937,0.375,88.689,0.969,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.715,19.924,0.294,88.815,1.136,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.691,19.937,0.469,88.686,1.065,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
0.711,19.937,0.448,88.739,1.082,2025-01-03 19:25:53,4.0,33.7,21.1,27.0,2.72,0,4
