M,C,d,L,R,T,N,Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N_stat
0.911,24.407,0.716,84.25,1.095,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.9,24.324,0.502,84.08,1.062,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.911,24.355,0.686,84.18,1.001,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.91,24.408,0.545,84.02,1.009,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.891,24.363,0.47,84.24,1.047,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.895,24.347,0.525,84.35,1.084,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.906,24.396,0.575,84.1,1.064,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.863,24.344,0.495,84.01,1.003,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.865,24.339,0.671,84.26,1.033,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.887,24.413,0.701,84.26,1.009,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.886,24.382,0.728,84.08,1.117,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.876,24.317,0.46,84.23,1.06,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.905,24.389,0.575,83.99,1.067,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.901,24.398,0.377,83.98,1.041,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.883,24.297,0.907,84.21,1.084,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.901,24.368,0.892,83.88,1.02,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.904,24.343,0.588,83.99,1.068,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.876,24.352,0.502,83.91,1.026,2025-01-09 11:51:25,0.0,22.6,16.5,19.12,1.59,0,0
0.862,24.348,0.545,83.96,1.067,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.903,24.419,0.753,83.96,1.012,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.911,24.391,0.342,83.97,1.004,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.911,24.423,0.515,84.2,1.084,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.89,24.377,0.658,83.97,1.038,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.893,24.305,0.578,84.25,1.033,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.87,24.266,0.462,83.84,1.026,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.89,24.333,0.768,83.87,1.033,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.907,24.361,0.638,84.22,1.023,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.868,24.254,0.457,84.18,1.034,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.865,24.327,0.64,84.16,1.044,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.889,24.34,0.419,84.01,1.046,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.892,24.301,0.417,84.08,1.077,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.888,24.298,0.472,84.02,1.046,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.909,24.345,0.414,84.37,1.033,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.902,24.336,0.522,84.16,1.07,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.909,24.353,0.487,84.14,1.091,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.929,24.359,0.585,84.17,1.042,2025-01-09 13:11:37,1.0,21.3,15.3,18.14,1.6,0,1
0.892,24.357,0.527,83.75,1.04,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.924,24.409,0.716,84.07,1.097,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.887,24.339,0.716,83.95,1.006,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.918,24.331,0.319,84.15,1.073,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.907,24.365,0.648,84.0,1.069,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.932,24.385,0.57,84.42,1.092,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.86,24.377,0.404,83.93,0.994,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.853,24.325,0.437,83.91,0.975,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.92,24.437,0.583,84.1,1.03,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.902,24.269,0.435,84.28,1.028,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.897,24.383,0.583,84.22,1.048,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.903,24.346,0.47,84.07,1.078,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.929,24.431,0.515,84.26,1.046,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.877,24.295,0.625,83.99,0.975,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.885,24.252,0.731,83.99,0.959,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.925,24.324,0.972,84.2,1.001,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.898,24.361,0.404,84.22,1.016,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.882,24.367,0.681,84.01,0.968,2025-01-09 19:01:50,2.0,21.1,16.9,19.2,1.3,0,2
0.909,24.297,0.605,84.25,1.083,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.915,24.348,0.605,84.09,1.032,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.913,24.292,0.357,84.04,1.064,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.933,24.273,0.535,84.21,1.106,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.885,24.297,0.816,83.86,1.007,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.896,24.326,0.492,83.95,1.039,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.893,24.325,0.595,84.18,1.014,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.915,24.389,0.754,84.41,1.044,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.905,24.261,0.48,84.26,1.088,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.918,24.321,0.605,84.19,1.068,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.893,24.261,0.623,84.13,1.005,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.916,24.281,0.771,84.3,1.047,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
0.942,24.38,0.402,84.29,1.089,2025-01-09 21:16:57,3.0,20.6,15.4,17.92,1.38,0,3
