M,C,d,L,R,T,N
0.977,24.281,0.505,84.451,1.047,2025-01-02 12:06:21,0.0
0.99,24.228,0.609,84.196,1.022,2025-01-02 12:06:21,0.0
1.024,24.353,0.429,84.269,1.153,2025-01-02 12:06:21,0.0
0.984,24.262,0.536,83.931,1.097,2025-01-02 12:06:21,0.0
1.003,24.249,0.521,83.814,0.993,2025-01-02 12:06:21,0.0
1.028,24.345,0.631,83.956,1.15,2025-01-02 12:06:21,0.0
1.01,24.375,0.345,83.956,1.145,2025-01-02 12:06:21,0.0
1.023,24.241,0.586,84.175,1.155,2025-01-02 12:06:21,0.0
0.995,24.191,0.527,83.998,1.084,2025-01-02 12:06:21,0.0
0.981,24.173,0.406,83.54,1.131,2025-01-02 12:06:21,0.0
0.995,24.332,0.596,84.436,1.077,2025-01-02 12:06:21,0.0
0.968,24.355,0.412,83.64,1.043,2025-01-02 12:06:21,0.0
0.99,24.327,0.499,84.073,1.097,2025-01-02 12:06:21,0.0
0.978,24.317,0.506,83.631,1.076,2025-01-02 12:06:21,0.0
0.957,24.33,0.246,83.541,1.093,2025-01-02 12:06:21,0.0
0.975,24.17,0.362,83.782,1.0,2025-01-02 12:06:21,0.0
0.977,24.194,0.43,83.678,1.068,2025-01-02 12:06:21,0.0
1.006,24.212,0.745,83.925,1.131,2025-01-02 12:06:21,0.0
0.999,24.323,0.262,83.977,1.072,2025-01-02 12:06:21,0.0
0.979,24.253,0.514,84.03,1.024,2025-01-02 12:16:23,1.0
1.013,24.3,0.365,83.984,1.127,2025-01-02 12:16:23,1.0
0.971,24.329,0.534,84.043,1.008,2025-01-02 12:16:23,1.0
0.985,24.245,0.315,84.164,1.041,2025-01-02 12:16:23,1.0
0.968,24.236,0.395,84.101,1.088,2025-01-02 12:16:23,1.0
0.99,24.33,0.311,83.977,1.054,2025-01-02 12:16:23,1.0
0.996,24.385,0.451,84.07,1.044,2025-01-02 12:16:23,1.0
0.961,24.368,0.292,84.068,1.031,2025-01-02 12:16:23,1.0
0.955,24.267,0.318,84.133,1.044,2025-01-02 12:16:23,1.0
0.959,24.328,0.848,84.155,1.043,2025-01-02 12:16:23,1.0
0.965,24.25,0.411,84.055,1.037,2025-01-02 12:16:23,1.0
0.952,24.314,0.353,83.884,1.057,2025-01-02 12:16:23,1.0
0.957,24.203,0.63,84.218,1.087,2025-01-02 12:16:23,1.0
0.973,24.284,0.382,84.213,1.039,2025-01-02 12:16:23,1.0
0.96,24.252,0.401,84.202,0.975,2025-01-02 12:16:23,1.0
0.98,24.296,0.341,84.221,1.075,2025-01-02 12:16:23,1.0
0.949,24.28,0.439,83.881,1.084,2025-01-02 12:16:23,1.0
0.955,24.297,0.797,84.219,1.082,2025-01-02 12:16:23,1.0
0.948,24.234,0.302,84.16,1.054,2025-01-02 12:16:23,1.0
0.961,24.296,0.494,83.939,1.072,2025-01-02 12:16:23,1.0
0.939,24.327,0.779,83.998,0.977,2025-01-02 12:21:24,2.0
0.967,24.208,0.599,83.989,0.997,2025-01-02 12:21:24,2.0
0.947,24.176,0.887,83.721,1.06,2025-01-02 12:26:26,3.0
0.98,24.189,0.36,84.147,1.088,2025-01-02 12:26:26,3.0
0.948,24.223,0.626,83.883,1.011,2025-01-02 12:26:26,3.0
0.944,24.117,0.586,84.105,1.046,2025-01-02 12:26:26,3.0
0.99,24.234,0.551,83.962,1.097,2025-01-02 12:26:26,3.0
0.997,24.371,0.887,84.026,1.034,2025-01-02 12:26:26,3.0
0.969,24.178,0.686,83.884,1.074,2025-01-02 12:26:26,3.0
1.018,24.293,0.49,83.808,1.156,2025-01-02 12:26:26,3.0
0.966,24.138,0.512,84.179,1.045,2025-01-02 12:26:26,3.0
0.955,24.132,0.498,84.193,0.981,2025-01-02 12:26:26,3.0
0.99,24.245,0.622,83.881,1.083,2025-01-02 12:26:26,3.0
0.954,24.304,0.504,84.177,0.991,2025-01-02 12:26:26,3.0
0.971,24.212,0.651,83.819,1.066,2025-01-02 12:26:26,3.0
1.008,24.209,0.525,83.882,1.097,2025-01-02 12:26:26,3.0
0.981,24.223,0.421,83.704,1.056,2025-01-02 12:26:26,3.0
1.004,24.3,0.453,83.716,1.016,2025-01-02 12:26:26,3.0
0.999,24.223,0.868,83.691,1.104,2025-01-02 12:26:26,3.0
0.989,24.296,0.583,84.052,1.076,2025-01-02 12:31:28,4.0
1.006,24.159,0.872,84.189,1.134,2025-01-02 12:31:28,4.0
0.973,24.321,0.482,84.167,1.008,2025-01-02 12:31:28,4.0
0.998,24.257,0.613,83.986,1.136,2025-01-02 12:31:28,4.0
0.975,24.349,0.416,84.217,1.047,2025-01-02 12:31:28,4.0
0.962,24.22,1.084,84.05,1.025,2025-01-02 12:31:28,4.0
1.001,24.237,0.763,83.8,1.153,2025-01-02 12:31:28,4.0
0.99,24.27,0.626,84.162,1.141,2025-01-02 12:31:28,4.0
0.979,24.322,0.706,84.035,1.115,2025-01-02 12:31:28,4.0
0.976,24.199,0.571,84.337,1.043,2025-01-02 12:31:28,4.0
0.966,24.285,0.63,84.433,1.117,2025-01-02 12:31:28,4.0
0.986,24.301,0.69,84.301,1.086,2025-01-02 12:31:28,4.0
0.994,24.296,0.633,84.095,1.051,2025-01-02 12:31:28,4.0
0.989,24.338,0.655,83.977,1.111,2025-01-02 12:31:28,4.0
0.964,24.238,0.718,83.932,1.095,2025-01-02 12:41:31,5.0
0.965,24.167,0.83,83.629,1.029,2025-01-02 12:41:31,5.0
1.002,24.401,0.758,84.325,1.044,2025-01-02 12:41:31,5.0
0.963,24.246,0.803,83.868,0.978,2025-01-02 12:41:31,5.0
0.938,24.421,0.594,83.656,1.019,2025-01-02 12:41:31,5.0
0.966,24.316,0.755,83.984,1.147,2025-01-02 12:41:31,5.0
0.95,24.414,0.544,83.857,1.062,2025-01-02 12:41:31,5.0
0.997,24.292,0.557,83.885,1.041,2025-01-02 12:41:31,5.0
0.963,24.356,0.692,84.191,0.986,2025-01-02 12:41:31,5.0
0.963,24.174,0.907,83.895,1.002,2025-01-02 12:41:31,5.0
0.992,24.337,0.734,83.739,1.031,2025-01-02 12:41:31,5.0
0.994,24.321,0.543,84.402,1.05,2025-01-02 12:41:31,5.0
0.915,24.314,0.616,83.889,1.027,2025-01-02 12:41:31,5.0
0.973,24.265,0.619,83.459,1.072,2025-01-02 12:41:31,5.0
0.938,24.378,0.63,83.883,1.015,2025-01-02 12:41:31,5.0
0.962,24.383,1.015,83.885,1.044,2025-01-02 12:41:31,5.0
0.956,24.275,0.473,83.876,1.015,2025-01-02 12:41:31,5.0
0.971,24.357,0.704,84.241,1.071,2025-01-02 12:41:31,5.0
0.97,24.418,0.566,84.092,1.042,2025-01-02 12:41:31,5.0
0.99,24.302,0.609,83.924,1.09,2025-01-02 12:46:33,6.0
0.992,24.204,0.647,84.062,1.065,2025-01-02 12:46:33,6.0
0.98,24.257,0.46,84.009,1.053,2025-01-02 12:46:33,6.0
1.004,24.273,0.924,83.888,1.03,2025-01-02 12:46:33,6.0
0.992,24.405,0.515,83.885,1.069,2025-01-02 12:46:33,6.0
0.971,24.196,0.526,83.947,1.062,2025-01-02 12:46:33,6.0
1.001,24.291,0.384,83.93,1.108,2025-01-02 12:46:33,6.0
0.961,24.272,0.399,84.022,1.052,2025-01-02 12:46:33,6.0
0.985,24.298,0.3,83.954,1.053,2025-01-02 12:46:33,6.0
0.979,24.295,0.34,83.987,0.994,2025-01-02 12:46:33,6.0
0.999,24.293,0.259,83.884,1.099,2025-01-02 12:46:33,6.0
0.979,24.197,0.665,84.098,1.171,2025-01-02 12:46:33,6.0
0.986,24.378,0.659,84.039,1.089,2025-01-02 12:46:33,6.0
0.967,24.259,0.302,84.092,1.001,2025-01-02 12:46:33,6.0
0.951,24.196,0.433,83.923,1.064,2025-01-02 12:46:33,6.0
0.971,24.309,0.498,83.951,1.057,2025-01-02 12:46:33,6.0
0.981,24.189,0.498,84.046,1.113,2025-01-02 12:46:33,6.0
0.978,24.436,0.743,84.17,1.056,2025-01-02 12:46:33,6.0
0.995,24.286,0.302,83.96,1.079,2025-01-02 12:46:33,6.0
0.969,24.34,0.509,84.005,1.138,2025-01-02 12:46:33,6.0
1.021,24.328,0.458,84.182,1.09,2025-01-02 13:01:36,7.0
1.023,24.241,0.412,83.888,1.134,2025-01-02 13:01:36,7.0
0.995,24.249,0.413,83.908,1.213,2025-01-02 13:01:36,7.0
0.964,24.278,0.527,83.844,1.05,2025-01-02 13:01:36,7.0
0.985,24.364,0.479,83.621,1.137,2025-01-02 13:01:36,7.0
0.97,24.289,0.523,83.639,1.085,2025-01-02 13:01:36,7.0
0.982,24.219,0.446,83.873,1.237,2025-01-02 13:01:36,7.0
1.025,24.244,0.366,84.141,1.151,2025-01-02 13:01:36,7.0
1.011,24.241,0.675,84.05,1.057,2025-01-02 13:01:36,7.0
0.965,24.153,0.425,83.636,1.017,2025-01-02 13:01:36,7.0
0.981,24.212,0.512,83.783,1.043,2025-01-02 13:01:36,7.0
0.997,24.135,0.447,84.228,1.141,2025-01-02 13:01:36,7.0
0.974,24.289,0.28,83.842,1.068,2025-01-02 13:01:36,7.0
1.017,24.216,0.503,84.162,1.195,2025-01-02 13:01:36,7.0
1.017,24.247,0.467,84.22,1.145,2025-01-02 13:01:36,7.0
0.971,24.274,0.45,83.883,0.999,2025-01-02 13:01:36,7.0
0.974,24.192,0.829,83.959,1.102,2025-01-02 13:01:36,7.0
0.993,24.274,0.425,83.99,1.145,2025-01-02 13:01:36,7.0
0.99,24.316,0.383,83.809,1.186,2025-01-02 13:01:36,7.0
0.954,24.103,0.775,83.845,1.037,2025-01-02 13:06:38,8.0
0.992,24.284,0.646,84.004,1.059,2025-01-02 13:06:38,8.0
0.962,24.316,0.796,83.638,1.057,2025-01-02 13:06:38,8.0
1.0,24.384,0.644,83.884,1.076,2025-01-02 13:06:38,8.0
0.964,24.288,0.706,83.802,1.012,2025-01-02 13:06:38,8.0
1.019,24.312,0.679,83.883,1.093,2025-01-02 13:06:38,8.0
1.008,24.173,0.586,83.891,1.042,2025-01-02 13:06:38,8.0
0.965,24.244,0.481,83.813,1.085,2025-01-02 13:06:38,8.0
0.963,24.086,0.653,83.888,1.013,2025-01-02 13:06:38,8.0
0.983,24.297,0.628,83.861,1.014,2025-01-02 13:06:38,8.0
1.0,24.246,0.671,83.842,1.079,2025-01-02 13:06:38,8.0
0.981,24.26,0.885,83.871,1.122,2025-01-02 13:06:38,8.0
0.949,24.173,0.707,83.952,1.008,2025-01-02 13:06:38,8.0
0.969,24.263,0.662,83.855,1.108,2025-01-02 13:06:38,8.0
0.941,24.205,0.405,84.018,1.019,2025-01-02 13:06:38,8.0
0.979,24.316,0.805,83.787,0.982,2025-01-02 13:06:38,8.0
0.966,24.263,0.642,83.976,1.1,2025-01-02 13:06:38,8.0
0.987,24.312,0.545,84.056,1.042,2025-01-02 13:11:40,9.0
0.945,24.386,0.661,83.905,0.998,2025-01-02 13:11:40,9.0
0.976,24.254,0.836,84.39,1.105,2025-01-02 13:11:40,9.0
0.994,24.143,0.819,84.231,1.038,2025-01-02 13:11:40,9.0
0.997,24.34,0.639,84.041,1.098,2025-01-02 13:11:40,9.0
0.996,24.36,0.629,84.33,1.092,2025-01-02 13:11:40,9.0
0.975,24.201,0.595,84.104,1.087,2025-01-02 13:11:40,9.0
1.002,24.382,0.633,84.387,1.136,2025-01-02 13:11:40,9.0
0.971,24.433,0.707,84.056,1.072,2025-01-02 13:11:40,9.0
0.955,24.302,0.761,84.315,1.057,2025-01-02 13:11:40,9.0
0.959,24.166,0.589,84.158,0.98,2025-01-02 13:11:40,9.0
0.986,24.396,0.679,84.133,1.028,2025-01-02 13:11:40,9.0
0.965,24.371,0.61,84.417,1.013,2025-01-02 13:11:40,9.0
0.993,24.356,0.47,83.938,1.148,2025-01-02 19:31:52,10.0
0.998,24.329,0.521,83.694,1.162,2025-01-02 19:31:52,10.0
1.017,24.301,0.539,83.837,1.131,2025-01-02 19:31:52,10.0
0.965,24.238,0.465,84.155,1.174,2025-01-02 19:31:52,10.0
0.995,24.242,0.46,83.69,1.102,2025-01-02 19:31:52,10.0
0.942,24.28,0.303,83.909,1.034,2025-01-02 19:31:52,10.0
1.009,24.376,0.32,83.947,1.156,2025-01-02 19:31:52,10.0
1.0,24.331,0.603,83.737,1.06,2025-01-02 19:31:52,10.0
0.986,24.284,0.432,83.865,1.079,2025-01-02 19:31:52,10.0
0.971,24.289,0.417,83.947,1.068,2025-01-02 19:31:52,10.0
0.987,24.277,0.496,84.207,1.167,2025-01-02 19:31:52,10.0
0.986,24.336,0.511,83.622,1.078,2025-01-02 19:31:52,10.0
0.941,24.17,0.614,83.87,1.065,2025-01-02 19:31:52,10.0
0.996,24.245,0.765,83.728,1.129,2025-01-02 19:31:52,10.0
0.918,24.28,0.824,83.8,0.988,2025-01-02 19:31:52,10.0
0.979,24.177,0.426,84.433,1.111,2025-01-02 19:31:52,10.0
1.011,24.302,0.401,84.228,1.175,2025-01-02 19:31:52,10.0
1.006,24.34,0.529,84.141,1.171,2025-01-02 19:31:52,10.0
1.009,24.249,0.264,84.028,1.084,2025-01-02 19:41:53,11.0
1.001,24.333,0.476,83.988,1.08,2025-01-02 19:41:53,11.0
0.985,24.408,0.335,83.764,1.041,2025-01-02 19:41:53,11.0
1.015,24.265,0.594,84.251,1.096,2025-01-02 19:41:53,11.0
0.958,24.226,0.31,83.912,1.11,2025-01-02 19:41:53,11.0
0.998,24.372,0.672,84.205,1.113,2025-01-02 19:41:53,11.0
1.002,24.317,0.399,84.196,1.116,2025-01-02 19:41:53,11.0
0.958,24.36,0.743,83.629,1.119,2025-01-02 19:41:53,11.0
0.99,24.303,0.491,84.146,1.132,2025-01-02 19:41:53,11.0
0.964,24.366,0.377,83.862,1.018,2025-01-02 19:41:53,11.0
0.983,24.378,0.318,83.757,1.058,2025-01-02 19:41:53,11.0
1.006,24.311,0.447,83.901,1.088,2025-01-02 19:41:53,11.0
0.991,24.302,0.37,84.251,1.035,2025-01-02 19:41:53,11.0
0.993,24.327,0.64,84.081,1.165,2025-01-02 19:41:53,11.0
1.005,24.336,0.344,84.185,1.091,2025-01-02 19:41:53,11.0
0.975,24.341,0.766,84.255,1.033,2025-01-02 19:41:53,11.0
