M,C,d,L,R,T,N,Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N_stat
0.874,24.28,0.62,84.044,1.154,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.87,24.336,0.344,84.024,1.204,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.865,24.346,0.416,84.037,1.251,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.901,24.393,0.501,84.129,1.243,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.901,24.281,0.483,83.971,1.218,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.866,24.284,0.578,84.171,1.181,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.879,24.331,0.556,83.838,1.281,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.862,24.363,0.434,84.045,1.188,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.854,24.255,0.473,84.109,1.254,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.885,24.305,0.465,83.952,1.234,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.838,24.244,0.361,83.998,1.136,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.895,24.252,0.319,84.112,1.266,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.909,24.279,0.672,84.061,1.314,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.889,24.362,0.508,84.135,1.22,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.847,24.257,0.474,83.975,1.174,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.877,24.257,0.467,84.269,1.215,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.867,24.327,0.454,84.268,1.206,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.903,24.417,0.653,84.146,1.256,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.901,24.318,0.662,84.258,1.263,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.871,24.225,0.345,84.269,1.281,2025-05-21 12:53:11,0.0,12.1,8.4,10.14,1.03,0,0
0.857,24.393,0.24,84.202,1.164,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
0.853,24.328,0.457,83.794,1.189,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
0.869,24.368,0.361,84.346,1.236,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
0.873,24.268,0.536,84.606,1.187,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
0.852,24.306,0.442,84.27,1.201,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
0.881,24.335,0.397,84.253,1.221,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
0.844,24.203,0.511,84.236,1.165,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
0.861,24.271,0.476,84.281,1.252,2025-05-21 12:58:12,1.0,11.9,6.6,9.18,1.31,0,1
