M,C,d,L,R,T,N
1.025,24.276,0.495,83.97,0.877,2025-01-02 12:00:50,0.0
1.009,24.353,0.563,83.86,0.878,2025-01-02 12:00:50,0.0
1.031,24.289,0.671,83.97,0.925,2025-01-02 12:00:50,0.0
1.03,24.311,0.547,83.93,0.901,2025-01-02 12:00:50,0.0
1.034,24.334,0.515,84.1,0.95,2025-01-02 12:00:50,0.0
1.004,24.357,0.741,83.77,0.876,2025-01-02 12:00:50,0.0
1.043,24.343,0.455,84.22,0.918,2025-01-02 12:00:50,0.0
0.997,24.365,0.515,84.14,0.927,2025-01-02 12:00:50,0.0
1.04,24.338,0.565,83.82,0.855,2025-01-02 12:00:50,0.0
1.054,24.336,0.633,84.1,0.933,2025-01-02 12:00:50,0.0
1.002,24.317,0.585,84.0,0.938,2025-01-02 12:00:50,0.0
1.046,24.315,0.48,83.86,0.865,2025-01-02 12:00:50,0.0
1.015,24.259,0.472,84.12,0.895,2025-01-02 12:00:50,0.0
1.04,24.265,0.505,84.19,0.902,2025-01-02 12:00:50,0.0
1.015,24.258,0.419,84.14,0.86,2025-01-02 12:00:50,0.0
1.051,24.374,0.472,84.0,0.892,2025-01-02 12:00:50,0.0
1.023,24.341,0.497,83.82,0.893,2025-01-02 12:00:50,0.0
0.995,24.322,0.62,83.97,0.878,2025-01-02 12:00:50,0.0
1.041,24.378,0.532,83.81,0.963,2025-01-02 12:00:50,0.0
1.012,24.42,0.397,83.74,0.861,2025-01-02 12:05:51,1.0
1.051,24.418,0.249,83.88,0.945,2025-01-02 12:05:51,1.0
1.06,24.381,0.407,83.84,0.944,2025-01-02 12:05:51,1.0
1.001,24.305,0.359,83.66,0.901,2025-01-02 12:05:51,1.0
1.052,24.344,0.701,83.96,0.905,2025-01-02 12:05:51,1.0
1.048,24.469,0.332,83.62,0.915,2025-01-02 12:05:51,1.0
1.045,24.425,0.477,83.93,0.93,2025-01-02 12:05:51,1.0
1.018,24.242,0.487,83.57,0.919,2025-01-02 12:05:51,1.0
1.013,24.371,0.643,83.79,0.946,2025-01-02 12:05:51,1.0
1.019,24.303,0.447,83.66,0.938,2025-01-02 12:05:51,1.0
1.057,24.412,0.362,83.91,0.934,2025-01-02 12:05:51,1.0
1.018,24.308,0.367,84.26,0.865,2025-01-02 12:05:51,1.0
1.02,24.372,0.392,83.66,0.892,2025-01-02 12:05:51,1.0
1.002,24.403,0.425,83.76,0.952,2025-01-02 12:05:51,1.0
1.035,24.35,0.372,83.67,0.923,2025-01-02 12:05:51,1.0
1.055,24.409,0.389,83.78,0.864,2025-01-02 12:05:51,1.0
1.006,24.397,0.364,83.87,0.905,2025-01-02 12:05:51,1.0
1.046,24.284,0.442,84.09,0.918,2025-01-02 12:10:52,2.0
