M,C,d,L,R,T,N,Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N_stat
0.519,16.958,0.476,96.956,1.886,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.535,16.927,0.462,97.16,2.121,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.513,16.971,0.476,97.197,1.816,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.514,16.987,0.448,97.141,1.819,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.52,16.952,0.434,96.996,1.983,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.51,16.892,0.458,97.172,1.948,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.523,17.065,0.416,97.013,1.959,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.526,17.015,0.41,97.119,1.892,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.511,16.955,0.465,96.988,1.885,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.546,17.137,0.627,97.14,2.008,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.515,16.873,0.385,97.253,1.994,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.522,16.98,0.455,96.992,2.009,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.52,17.018,0.378,96.832,1.923,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.515,16.917,0.434,96.936,1.908,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.528,17.009,0.483,97.154,1.971,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.519,16.864,0.472,97.365,2.004,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.518,17.012,0.588,97.147,1.867,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.505,16.905,0.41,97.052,1.959,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.505,16.911,0.357,96.947,1.886,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.508,16.999,0.515,97.132,1.909,2025-01-05 19:11:58,0.0,22.9,16.9,20.19,1.69,0.0,0.0
0.529,16.952,0.438,97.02,2.054,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.534,16.99,0.399,97.048,1.995,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.535,17.034,0.381,96.907,2.028,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.534,17.005,0.375,96.817,2.003,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.532,16.971,0.381,97.074,1.997,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.5,16.977,0.417,96.975,1.778,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.515,17.024,0.465,97.036,1.933,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.52,16.977,0.353,97.049,1.964,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.533,17.065,0.396,96.871,1.983,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.535,16.93,0.49,97.143,2.1,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.526,17.081,0.42,96.924,1.994,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.522,17.005,0.529,96.922,1.933,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.504,16.961,0.466,97.093,1.942,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.553,17.037,0.378,97.141,2.109,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.546,17.049,0.417,96.872,1.93,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.519,16.955,0.577,97.045,1.957,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.53,16.993,0.427,97.022,1.961,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.535,17.081,0.585,96.81,1.99,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.54,17.087,0.473,97.045,2.043,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.519,16.961,0.409,97.121,2.039,2025-01-05 21:02:03,1.0,23.9,16.5,20.68,2.07,0.0,1.0
0.518,16.911,0.504,97.075,1.939,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.518,16.98,0.434,96.995,1.999,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.53,16.987,0.578,96.958,2.003,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.536,16.999,0.385,96.952,2.069,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.531,16.924,0.441,96.919,2.004,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.519,16.958,0.455,97.092,1.887,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.53,16.927,0.35,97.057,2.023,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.527,17.043,0.371,96.948,1.899,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.531,16.958,0.311,97.272,2.061,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.525,16.933,0.409,97.025,2.008,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.526,16.917,0.367,96.978,1.938,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.531,16.965,0.374,96.987,2.048,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.53,16.927,0.35,97.038,1.965,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.518,16.987,0.385,97.051,2.006,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.508,16.886,0.553,96.861,1.946,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.523,17.002,0.389,97.13,1.949,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.527,16.946,0.371,97.066,2.036,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.516,16.971,0.378,97.134,1.957,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.499,16.936,0.361,96.89,1.81,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.54,17.009,0.423,96.895,2.029,2025-01-06 11:05:00,2.0,22.8,16.3,20.62,1.52,0.0,2.0
0.529,17.04,0.458,97.015,1.883,2025-01-06 13:00:13,3.0,25.2,16.8,21.8,2.18,0.0,3.0
0.527,16.983,0.49,97.287,1.963,2025-01-06 13:00:13,3.0,25.2,16.8,21.8,2.18,0.0,3.0
0.544,17.009,0.539,96.908,2.025,2025-01-06 13:00:13,3.0,25.2,16.8,21.8,2.18,0.0,3.0
