M,C,d,L,R,T,N
0.542,16.921,0.399,96.638,1.798,2025-01-02 11:30:35,0.0
0.537,16.946,0.683,96.913,1.861,2025-01-02 11:30:35,0.0
0.538,16.855,0.693,97.238,1.79,2025-01-02 11:30:35,0.0
0.536,16.886,0.718,97.102,1.776,2025-01-02 11:30:35,0.0
0.538,16.895,0.532,97.218,1.726,2025-01-02 11:30:35,0.0
0.536,16.839,0.581,97.191,1.79,2025-01-02 11:30:35,0.0
0.525,16.968,0.441,97.198,1.729,2025-01-02 11:30:35,0.0
0.528,16.823,0.501,97.218,1.799,2025-01-02 11:30:35,0.0
0.539,16.921,0.591,97.066,1.823,2025-01-02 11:30:35,0.0
0.56,16.917,0.623,96.972,1.89,2025-01-02 11:30:35,0.0
0.528,16.798,0.556,97.206,1.777,2025-01-02 11:30:35,0.0
0.53,16.858,0.578,97.164,1.759,2025-01-02 11:30:35,0.0
0.541,17.002,0.588,96.687,1.746,2025-01-02 11:30:35,0.0
0.541,16.99,0.633,96.79,1.853,2025-01-02 11:30:35,0.0
0.513,16.914,0.679,96.903,1.72,2025-01-02 11:30:35,0.0
0.531,16.93,0.633,97.103,1.82,2025-01-02 11:30:35,0.0
0.536,16.921,0.616,97.153,1.766,2025-01-02 11:30:35,0.0
0.519,16.943,0.571,97.419,1.724,2025-01-02 11:30:35,0.0
0.54,17.005,0.606,96.791,1.818,2025-01-02 11:30:35,0.0
0.531,16.93,0.535,97.33,1.668,2025-01-02 11:30:35,0.0
0.554,17.024,0.609,97.01,1.885,2025-01-02 19:10:50,1.0
0.546,17.059,0.651,96.853,1.708,2025-01-02 19:10:50,1.0
0.525,16.943,0.532,96.744,1.775,2025-01-02 19:10:50,1.0
0.55,17.015,0.668,96.859,1.879,2025-01-02 19:10:50,1.0
0.523,16.987,0.515,97.172,1.699,2025-01-02 19:10:50,1.0
0.536,17.018,0.556,97.181,1.806,2025-01-02 19:10:50,1.0
0.53,17.043,0.56,96.849,1.724,2025-01-02 19:10:50,1.0
0.544,17.009,0.707,96.996,1.808,2025-01-02 19:10:50,1.0
0.536,16.914,0.735,97.233,1.804,2025-01-02 19:10:50,1.0
0.529,16.983,0.431,96.764,1.658,2025-01-02 19:10:50,1.0
0.526,17.024,0.767,97.057,1.712,2025-01-02 19:10:50,1.0
0.518,17.024,0.623,97.193,1.709,2025-01-02 19:10:50,1.0
0.526,16.971,0.717,96.82,1.66,2025-01-02 19:10:50,1.0
0.529,17.053,0.553,97.262,1.604,2025-01-02 19:10:50,1.0
0.53,17.04,0.567,97.082,1.658,2025-01-02 19:10:50,1.0
0.523,17.031,0.441,97.213,1.715,2025-01-02 19:10:50,1.0
0.532,17.031,0.49,97.064,1.779,2025-01-02 19:10:50,1.0
0.519,17.059,0.62,97.113,1.721,2025-01-02 19:10:50,1.0
0.532,17.053,0.672,97.238,1.819,2025-01-02 19:10:50,1.0
0.541,17.071,0.543,96.883,1.739,2025-01-02 19:10:50,1.0
0.52,16.987,0.749,96.976,1.756,2025-01-02 21:00:52,2.0
0.547,17.084,0.56,97.069,1.758,2025-01-02 21:00:52,2.0
0.543,17.012,0.563,96.809,1.751,2025-01-02 21:00:52,2.0
0.537,17.084,0.581,96.938,1.726,2025-01-02 21:00:52,2.0
0.554,17.059,0.655,96.778,1.754,2025-01-02 21:00:52,2.0
0.535,17.04,0.406,96.926,1.727,2025-01-02 21:00:52,2.0
0.537,16.99,0.598,97.103,1.827,2025-01-02 21:00:52,2.0
0.516,16.993,0.637,97.131,1.677,2025-01-02 21:00:52,2.0
0.517,17.031,0.56,97.246,1.702,2025-01-02 21:00:52,2.0
0.521,16.965,0.497,97.129,1.681,2025-01-02 21:00:52,2.0
0.542,17.049,0.668,97.116,1.732,2025-01-02 21:00:52,2.0
0.552,17.068,0.55,97.218,1.82,2025-01-02 21:00:52,2.0
0.524,17.078,0.704,96.925,1.78,2025-01-02 21:00:52,2.0
0.531,17.078,0.612,96.896,1.76,2025-01-02 21:00:52,2.0
0.543,17.005,0.564,96.941,1.748,2025-01-02 21:00:52,2.0
0.541,17.053,0.577,97.185,1.757,2025-01-02 21:00:52,2.0
0.529,17.018,0.616,96.957,1.825,2025-01-02 21:00:52,2.0
0.534,17.005,0.378,96.984,1.794,2025-01-02 21:00:52,2.0
0.53,17.065,0.76,97.052,1.681,2025-01-02 21:00:52,2.0
0.55,17.071,0.546,97.228,1.957,2025-01-02 21:00:52,2.0
0.539,16.987,0.528,97.199,1.927,2025-01-03 11:25:31,3.0
0.555,17.178,0.515,96.84,1.778,2025-01-03 11:25:31,3.0
0.526,16.974,0.613,97.177,1.753,2025-01-03 11:25:31,3.0
0.513,16.955,0.616,96.797,1.644,2025-01-03 11:25:31,3.0
0.541,16.93,0.515,97.145,1.794,2025-01-03 11:25:31,3.0
0.529,17.106,0.336,97.201,1.626,2025-01-03 11:25:31,3.0
0.523,17.053,0.651,97.245,1.762,2025-01-03 11:25:31,3.0
0.545,17.034,0.469,97.152,1.866,2025-01-03 11:25:31,3.0
0.532,16.911,0.612,96.824,1.81,2025-01-03 11:25:31,3.0
0.536,17.125,0.606,96.988,1.702,2025-01-03 11:25:31,3.0
0.524,17.031,0.675,97.242,1.688,2025-01-03 11:25:31,3.0
0.53,16.987,0.732,96.831,1.739,2025-01-03 11:25:31,3.0
0.535,17.002,0.546,96.857,1.685,2025-01-03 11:25:31,3.0
0.539,17.075,0.494,97.176,1.726,2025-01-03 11:25:31,3.0
0.539,17.103,0.371,97.151,1.777,2025-01-03 11:25:31,3.0
0.544,17.018,0.5,97.022,1.808,2025-01-03 11:25:31,3.0
0.511,16.987,0.504,97.206,1.69,2025-01-03 11:25:31,3.0
0.521,16.999,0.724,96.993,1.749,2025-01-03 11:25:31,3.0
0.521,17.075,0.574,96.806,1.709,2025-01-03 11:25:31,3.0
0.546,17.166,0.602,96.738,1.847,2025-01-03 11:25:31,3.0
0.527,16.974,0.438,97.217,1.855,2025-01-03 12:45:35,4.0
0.525,16.933,0.466,97.165,1.738,2025-01-03 12:45:35,4.0
0.533,16.996,0.515,97.215,1.81,2025-01-03 12:45:35,4.0
0.521,16.977,0.521,96.964,1.651,2025-01-03 12:45:35,4.0
0.516,16.961,0.627,96.951,1.826,2025-01-03 12:45:35,4.0
0.511,16.974,0.413,97.066,1.637,2025-01-03 12:45:35,4.0
0.512,16.936,0.739,96.843,1.619,2025-01-03 12:45:35,4.0
0.543,17.046,0.378,96.85,1.843,2025-01-03 12:45:35,4.0
0.558,17.112,0.462,96.821,1.94,2025-01-03 12:45:35,4.0
0.524,16.99,0.591,96.912,1.767,2025-01-03 12:45:35,4.0
0.554,17.109,0.553,96.879,1.834,2025-01-03 12:45:35,4.0
0.565,17.04,0.378,96.836,1.98,2025-01-03 12:45:35,4.0
0.556,17.053,0.626,97.212,1.866,2025-01-03 12:45:35,4.0
0.534,16.98,0.539,97.305,1.649,2025-01-03 12:45:35,4.0
0.538,17.068,0.451,97.31,1.665,2025-01-03 12:45:35,4.0
0.543,17.049,0.525,96.882,1.765,2025-01-03 12:45:35,4.0
0.556,17.021,0.501,96.838,1.794,2025-01-03 12:45:35,4.0
0.532,17.043,0.413,97.265,1.816,2025-01-03 12:45:35,4.0
0.514,17.049,0.63,96.899,1.627,2025-01-03 12:45:35,4.0
0.536,17.134,0.518,96.888,1.716,2025-01-03 12:45:35,4.0
0.553,17.046,0.49,97.185,1.846,2025-01-03 19:35:55,5.0
0.55,17.04,0.529,96.909,1.891,2025-01-03 19:35:55,5.0
0.507,17.002,0.585,96.753,1.7,2025-01-03 19:35:55,5.0
0.561,17.04,0.532,96.974,1.933,2025-01-03 19:35:55,5.0
0.529,17.053,0.546,97.037,1.825,2025-01-03 19:35:55,5.0
0.536,17.018,0.438,96.891,1.897,2025-01-03 19:35:55,5.0
0.539,16.98,0.71,96.954,1.727,2025-01-03 19:35:55,5.0
0.532,17.093,0.581,97.201,1.786,2025-01-03 19:35:55,5.0
0.52,17.053,0.515,97.148,1.727,2025-01-03 19:35:55,5.0
0.539,17.078,0.668,97.349,1.812,2025-01-03 19:35:55,5.0
0.529,17.09,0.494,96.816,1.746,2025-01-03 19:35:55,5.0
0.524,17.131,0.571,97.206,1.725,2025-01-03 19:35:55,5.0
0.524,17.09,0.504,96.967,1.674,2025-01-03 19:35:55,5.0
0.547,17.115,0.529,96.9,1.83,2025-01-03 19:35:55,5.0
0.529,17.018,0.497,96.748,1.737,2025-01-03 19:35:55,5.0
0.522,17.065,0.448,97.338,1.664,2025-01-03 19:35:55,5.0
0.536,17.109,0.521,97.109,1.881,2025-01-03 19:35:55,5.0
0.531,17.065,0.532,97.33,1.848,2025-01-03 19:35:55,5.0
0.519,17.027,0.756,97.1,1.595,2025-01-03 19:35:55,5.0
0.522,17.034,0.557,96.798,1.716,2025-01-03 19:35:55,5.0
0.545,17.046,0.511,97.256,1.686,2025-01-03 21:20:59,6.0
0.558,17.059,0.546,96.962,1.746,2025-01-03 21:20:59,6.0
0.54,16.943,0.557,97.3,1.867,2025-01-03 21:20:59,6.0
0.553,17.005,0.535,96.933,1.959,2025-01-03 21:20:59,6.0
0.515,16.921,0.486,96.933,1.657,2025-01-03 21:20:59,6.0
0.546,17.087,0.455,97.101,1.767,2025-01-03 21:20:59,6.0
0.532,17.081,0.56,96.885,1.812,2025-01-03 21:20:59,6.0
0.513,17.053,0.396,96.866,1.712,2025-01-03 21:20:59,6.0
0.527,16.996,0.56,97.197,1.789,2025-01-03 21:20:59,6.0
0.517,16.82,0.354,97.341,1.707,2025-01-03 21:20:59,6.0
0.537,16.961,0.571,96.945,1.758,2025-01-03 21:20:59,6.0
0.519,16.999,0.539,97.205,1.748,2025-01-03 21:20:59,6.0
0.542,16.939,0.469,97.343,1.823,2025-01-03 21:20:59,6.0
0.563,17.009,0.728,96.931,1.947,2025-01-03 21:20:59,6.0
0.527,16.968,0.571,96.896,1.793,2025-01-03 21:20:59,6.0
0.528,16.965,0.633,97.035,1.759,2025-01-03 21:20:59,6.0
0.517,17.021,0.357,97.253,1.638,2025-01-03 21:20:59,6.0
0.551,17.078,0.542,96.899,1.88,2025-01-03 21:20:59,6.0
0.518,16.936,0.556,96.829,1.739,2025-01-03 21:20:59,6.0
0.506,17.015,0.648,97.16,1.607,2025-01-03 21:20:59,6.0
0.535,16.93,0.448,97.162,1.822,2025-01-04 11:19:00,7.0
0.518,16.848,0.325,97.158,1.7,2025-01-04 11:19:00,7.0
0.548,17.002,0.395,96.985,1.798,2025-01-04 11:19:00,7.0
0.515,17.04,0.535,96.934,1.821,2025-01-04 11:19:00,7.0
0.534,16.974,0.396,96.993,1.829,2025-01-04 11:19:00,7.0
0.533,16.968,0.48,96.894,1.702,2025-01-04 11:19:00,7.0
0.513,16.902,0.535,97.261,1.673,2025-01-04 11:19:00,7.0
0.522,16.795,0.476,96.907,1.814,2025-01-04 11:19:00,7.0
0.527,16.911,0.413,96.874,1.706,2025-01-04 11:19:00,7.0
0.531,16.917,0.473,97.191,1.826,2025-01-04 11:19:00,7.0
0.535,16.939,0.556,97.413,1.742,2025-01-04 11:19:00,7.0
0.553,16.974,0.532,97.3,1.796,2025-01-04 11:19:00,7.0
0.532,16.99,0.441,97.362,1.804,2025-01-04 11:19:00,7.0
0.521,17.056,0.543,97.146,1.671,2025-01-04 11:19:00,7.0
0.521,16.961,0.357,97.109,1.712,2025-01-04 11:19:00,7.0
