M,C,d,L,R,T,N,Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N_stat
0.599,16.996,0.595,96.931,1.501,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.588,16.921,0.381,97.144,1.392,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.591,16.908,0.616,96.997,1.355,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.596,16.974,0.287,96.88,1.504,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.595,17.012,0.361,97.197,1.42,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.576,16.873,0.637,97.104,1.346,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.58,16.848,0.536,97.021,1.423,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.609,16.955,0.448,97.092,1.47,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.582,16.895,0.507,96.93,1.439,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.592,16.908,0.49,97.151,1.45,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.591,16.836,0.49,96.869,1.49,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.576,16.864,0.511,97.108,1.456,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.578,16.965,0.689,97.122,1.318,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.591,16.892,0.637,97.159,1.447,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.6,16.93,0.311,96.973,1.471,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.589,16.924,0.581,96.959,1.392,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.594,17.119,0.511,97.029,1.433,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.566,16.895,0.357,97.017,1.357,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.563,16.877,0.508,97.04,1.368,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.593,16.971,0.504,96.983,1.382,2025-01-02 11:20:33,0.0,37.1,32.2,34.74,1.38,0,0
0.572,16.924,0.462,96.915,1.415,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.582,17.156,0.525,97.094,1.33,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.554,17.037,0.406,97.301,1.362,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.579,16.983,0.665,97.016,1.369,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.571,16.899,0.497,96.876,1.428,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.587,16.987,0.571,97.096,1.405,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.563,16.886,0.532,97.011,1.395,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.61,16.936,0.479,97.019,1.347,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.587,16.965,0.553,97.129,1.399,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.588,16.952,0.501,97.193,1.367,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.576,16.924,0.553,96.984,1.419,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.583,17.009,0.49,97.154,1.346,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.588,16.889,0.374,97.068,1.397,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.571,16.902,0.49,97.245,1.332,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.598,17.049,0.529,97.053,1.457,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.578,16.917,0.448,97.135,1.369,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.592,16.996,0.476,97.116,1.463,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.596,16.98,0.217,97.138,1.398,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.586,16.977,0.546,96.984,1.333,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.556,16.955,0.546,97.03,1.36,2025-01-02 12:45:38,1.0,40.5,32.8,35.78,2.13,0,1
0.599,17.175,0.343,97.039,1.38,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.58,17.131,0.452,97.066,1.315,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.599,17.166,0.427,96.899,1.427,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.57,17.125,0.5,96.975,1.433,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.567,17.065,0.221,97.109,1.357,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.589,17.185,0.532,96.938,1.356,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.589,17.062,0.245,97.114,1.488,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.59,17.112,0.438,97.025,1.403,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.597,17.153,0.266,96.992,1.416,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.583,17.159,0.682,97.113,1.379,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.566,17.128,0.462,97.014,1.404,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.576,17.106,0.7,97.0,1.369,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.599,17.043,0.455,97.015,1.485,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.567,17.046,0.381,97.071,1.363,2025-01-02 19:00:48,2.0,39.7,30.6,33.61,2.36,0,2
0.575,17.046,0.399,96.997,1.347,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.588,17.122,0.623,96.849,1.349,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.584,16.983,0.791,96.983,1.387,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.589,17.144,0.641,97.093,1.382,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.593,17.053,0.613,96.977,1.418,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.576,17.163,0.591,97.005,1.39,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.59,17.175,0.665,96.923,1.506,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.582,17.062,0.662,96.937,1.408,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.577,16.99,0.469,97.077,1.416,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.577,17.097,0.591,97.136,1.399,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.598,17.081,0.458,97.006,1.458,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.591,17.062,0.609,97.113,1.36,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.603,17.166,0.469,96.969,1.358,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.593,17.122,0.606,96.976,1.452,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.6,17.093,0.466,96.994,1.413,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.578,17.09,0.651,97.019,1.31,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.578,16.983,0.724,97.018,1.382,2025-01-02 21:05:53,3.0,37.3,31.7,34.92,1.64,0,3
0.56,16.795,0.787,97.001,1.416,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.597,17.087,0.584,96.952,1.423,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.598,16.939,0.612,96.955,1.413,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.603,16.987,0.641,96.978,1.378,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.565,16.924,0.672,97.012,1.428,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.587,16.902,0.676,96.912,1.425,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.588,16.786,0.648,97.086,1.46,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.601,17.163,0.504,97.058,1.434,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.596,17.059,0.654,96.985,1.41,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.593,17.043,0.458,96.933,1.367,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.593,17.037,0.567,96.958,1.326,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.606,16.971,0.641,96.891,1.414,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.592,17.031,0.532,96.781,1.387,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.595,17.081,0.69,96.942,1.41,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.567,16.999,0.658,96.874,1.335,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.565,16.795,0.648,96.93,1.435,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.606,16.949,0.532,96.852,1.517,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.586,17.071,0.633,97.024,1.399,2025-01-03 11:15:29,4.0,44.6,33.8,37.33,2.42,0,4
0.609,17.009,0.507,96.915,1.473,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.577,16.936,0.679,96.948,1.297,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.59,17.053,0.637,96.904,1.399,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.586,16.955,0.654,97.012,1.421,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.577,16.911,0.578,96.921,1.381,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.575,17.103,0.458,96.975,1.303,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.606,16.955,0.651,96.937,1.443,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.595,17.181,0.739,96.934,1.391,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.613,17.137,0.661,97.02,1.445,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.575,16.999,0.672,97.056,1.312,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.6,16.977,0.746,97.101,1.419,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.567,17.024,0.627,97.122,1.323,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.563,16.839,0.508,97.072,1.306,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.603,17.049,0.567,97.143,1.447,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.595,16.892,0.616,96.92,1.389,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
0.574,16.851,0.774,97.099,1.363,2025-01-03 12:55:37,5.0,42.5,34.8,38.4,2.11,0,5
