M,C,d,L,R,T,N
0.9990,24.2460,0.7930,83.8170,1.0460,2025-01-02 11:56:18,0.0
1.0020,24.1310,0.4860,84.0250,1.1340,2025-01-02 11:56:18,0.0
0.99,24.2810,0.6060,84.2220,1.0440,2025-01-02 11:56:18,0.0
0.97,24.2850,0.6690,84.0670,0.9340,2025-01-02 11:56:18,0.0
0.9770,24.3170,0.4750,83.9950,1.0890,2025-01-02 11:56:18,0.0
0.9440,24.1350,0.4570,83.9140,1.0480,2025-01-02 11:56:18,0.0
1,24.2740,0.6440,84.14,0.9710,2025-01-02 11:56:18,0.0
0.9560,24.19,1.0460,84.0010,1.1230,2025-01-02 11:56:18,0.0
1.0120,24.3050,0.3490,84.1870,1.0880,2025-01-02 11:56:18,0.0
0.9890,24.3110,0.8160,83.83,1.0190,2025-01-02 11:56:18,0.0
1.0090,24.27,0.3650,84.1710,1.1060,2025-01-02 11:56:18,0.0
1.0170,24.3290,0.4810,84.1590,1.0930,2025-01-02 11:56:18,0.0
1.0090,24.2880,0.5580,84.0690,1.1320,2025-01-02 11:56:18,0.0
1.02,24.3660,0.3560,84.1320,1.0750,2025-01-02 11:56:18,0.0
0.9970,24.2680,0.4940,84.03,1.0510,2025-01-02 11:56:18,0.0
1.0330,24.4150,0.3710,83.9760,1.0950,2025-01-02 11:56:18,0.0
0.9640,24.35,0.6790,84.0450,1.0740,2025-01-02 11:56:18,0.0
0.9890,24.3820,0.7880,84.22,1.0370,2025-01-02 11:56:18,0.0
0.9860,24.3980,0.5480,84.0440,0.9930,2025-01-02 11:56:18,0.0
0.9910,24.2090,0.5080,84.0960,1.1250,2025-01-02 11:56:18,0.0
0.9560,24.3070,1.14,84.19,0.9670,2025-01-02 13:01:00,1.0
1.0090,24.3280,0.6330,84.06,1.0830,2025-01-02 13:01:00,1.0
0.9790,24.3070,0.5120,83.92,1.1130,2025-01-02 13:01:00,1.0
0.9880,24.3390,0.5850,83.97,1.0290,2025-01-02 13:01:00,1.0
0.9760,24.2280,0.4470,84.14,0.9790,2025-01-02 13:01:00,1.0
0.9660,24.2680,0.9120,84.11,1.0060,2025-01-02 13:01:00,1.0
