M,C,d,L,R,T,N
0.6990,20.0150,0.3220,88.7430,1.0280,2025-01-02 12:50:40,0.0
0.7350,20.0460,0.42,89.0890,1.0920,2025-01-02 12:50:40,0.0
0.7290,19.99,0.4940,89.2860,1.0940,2025-01-02 12:50:40,0.0
0.6940,19.9550,0.4870,88.8840,0.9330,2025-01-02 12:50:40,0.0
0.72,20.1190,0.4970,89.1090,1.1010,2025-01-02 12:50:40,0.0
0.7220,19.94,0.5210,89,1.1720,2025-01-02 12:50:40,0.0
0.70,20.0060,0.4790,88.7610,1.0350,2025-01-02 12:50:40,0.0
0.6950,19.94,0.42,89.2260,1.01,2025-01-02 12:50:40,0.0
0.7410,19.9810,0.4090,88.7120,1.1370,2025-01-02 12:50:40,0.0
0.7440,20.0750,0.3710,88.8550,1.1440,2025-01-02 12:50:40,0.0
0.69,20.0460,0.5150,88.74,1.0160,2025-01-02 12:50:40,0.0
0.6610,20.0030,0.5110,89.1260,0.9290,2025-01-02 12:50:40,0.0
0.7260,20.0280,0.4580,89.0520,1.0260,2025-01-02 12:50:40,0.0
0.7490,20.0150,0.5950,88.7580,1.1950,2025-01-02 12:50:40,0.0
0.70,19.9590,0.4620,89.1880,0.9520,2025-01-02 12:50:40,0.0
0.73,19.9840,0.3960,88.9310,1.0970,2025-01-02 12:50:40,0.0
0.6990,19.9590,0.34,89.2310,1.0140,2025-01-02 12:50:40,0.0
0.6870,19.9990,0.4410,88.9050,1.0870,2025-01-02 12:50:40,0.0
0.71,20.0250,0.5070,89.2030,1.05,2025-01-02 12:50:40,0.0
0.70,19.9740,0.5320,88.9710,1.0070,2025-01-02 12:50:40,0.0
0.7260,20.0870,0.4270,88.95,1.0920,2025-01-02 21:15:55,1.0
0.7020,19.8610,0.5770,89.3240,1.0670,2025-01-02 21:15:55,1.0
0.6810,19.9590,0.4340,88.8440,0.9990,2025-01-02 21:15:55,1.0
0.7060,19.9270,0.4550,89.1750,1.0120,2025-01-02 21:15:55,1.0
0.71,19.9810,0.4020,89.0110,0.9860,2025-01-02 21:15:55,1.0
0.7230,19.9740,0.5320,89.0540,1.06,2025-01-02 21:15:55,1.0
0.6980,20.0090,0.48,88.86,1.0480,2025-01-02 21:15:55,1.0
0.7130,20.0150,0.5320,88.9360,1.0540,2025-01-02 21:15:55,1.0
0.7510,20.1250,0.4340,89.3060,1.1320,2025-01-02 21:15:55,1.0
0.6970,19.9080,0.5780,89.3910,0.9620,2025-01-02 21:15:55,1.0
0.6860,19.9180,0.4230,89.0610,1.06,2025-01-02 21:15:55,1.0
0.6930,19.8770,0.3330,89.25,1.0360,2025-01-02 21:15:55,1.0
0.6760,19.9710,0.6620,89.2380,0.98,2025-01-02 21:15:55,1.0
0.7150,19.9960,0.3530,88.6030,1.0720,2025-01-02 21:15:55,1.0
0.70,19.9430,0.56,88.9180,0.9490,2025-01-02 21:15:55,1.0
0.7530,19.9990,0.3610,89.3860,1.0610,2025-01-02 21:15:55,1.0
0.7070,20.0970,0.3780,88.9790,1.0460,2025-01-02 21:15:55,1.0
0.7090,19.9770,0.6370,89.5370,1.1590,2025-01-02 21:15:55,1.0
0.7040,19.9620,0.4480,88.9360,0.9930,2025-01-02 21:15:55,1.0
0.7130,20.0210,0.4130,88.5740,1.0620,2025-01-02 21:15:55,1.0
0.7270,19.93,0.5210,89.2340,1.0940,2025-01-03 11:30:32,2.0
0.7030,19.9270,0.41,89.1310,1.1270,2025-01-03 11:30:32,2.0
0.7270,20.0340,0.3810,88.79,1.1930,2025-01-03 11:30:32,2.0
0.6820,19.8170,0.5530,89.1630,0.9850,2025-01-03 11:30:32,2.0
0.7340,19.9080,0.4620,89.1850,1.1880,2025-01-03 11:30:32,2.0
0.7220,19.9990,0.43,88.6320,1.0950,2025-01-03 11:30:32,2.0
0.7410,20.0180,0.4550,89.10,1.1520,2025-01-03 11:30:32,2.0
0.7440,19.9740,0.4690,89.1260,1.1260,2025-01-03 11:30:32,2.0
0.7060,19.9930,0.3190,88.6980,1.0660,2025-01-03 11:30:32,2.0
0.7110,19.8960,0.5770,88.7080,1.0860,2025-01-03 11:30:32,2.0
0.70,19.8770,0.4310,88.86,1.0620,2025-01-03 11:30:32,2.0
0.7010,19.8450,0.4690,88.7770,1.0020,2025-01-03 11:30:32,2.0
0.6960,19.8770,0.6510,89.0240,1.0180,2025-01-03 11:30:32,2.0
