M,C,d,L,R,T,N
0.9010,24.5070,1.0620,84.20,0.9750,2025-01-09 11:51:25,0.0
0.9110,24.4070,0.7160,84.25,1.0950,2025-01-09 11:51:25,0.0
0.90,24.3240,0.5020,84.08,1.0620,2025-01-09 11:51:25,0.0
0.9110,24.3550,0.6860,84.18,1.0010,2025-01-09 11:51:25,0.0
0.91,24.4080,0.5450,84.02,1.0090,2025-01-09 11:51:25,0.0
0.8910,24.3630,0.47,84.24,1.0470,2025-01-09 11:51:25,0.0
0.8950,24.3470,0.5250,84.35,1.0840,2025-01-09 11:51:25,0.0
0.9060,24.3960,0.5750,84.10,1.0640,2025-01-09 11:51:25,0.0
0.8630,24.3440,0.4950,84.01,1.0030,2025-01-09 11:51:25,0.0
0.8650,24.3390,0.6710,84.26,1.0330,2025-01-09 11:51:25,0.0
0.8870,24.4130,0.7010,84.26,1.0090,2025-01-09 11:51:25,0.0
0.8910,24.4060,1.3610,83.97,1.0540,2025-01-09 11:51:25,0.0
0.8860,24.3820,0.7280,84.08,1.1170,2025-01-09 11:51:25,0.0
0.8760,24.3170,0.46,84.23,1.06,2025-01-09 11:51:25,0.0
0.9050,24.3890,0.5750,83.99,1.0670,2025-01-09 11:51:25,0.0
0.9010,24.3980,0.3770,83.98,1.0410,2025-01-09 11:51:25,0.0
0.8830,24.2970,0.9070,84.21,1.0840,2025-01-09 11:51:25,0.0
0.9010,24.3680,0.8920,83.88,1.02,2025-01-09 11:51:25,0.0
0.9040,24.3430,0.5880,83.99,1.0680,2025-01-09 11:51:25,0.0
0.8760,24.3520,0.5020,83.91,1.0260,2025-01-09 11:51:25,0.0
0.8620,24.3480,0.5450,83.96,1.0670,2025-01-09 13:11:37,1.0
0.9030,24.4190,0.7530,83.96,1.0120,2025-01-09 13:11:37,1.0
0.9110,24.3910,0.3420,83.97,1.0040,2025-01-09 13:11:37,1.0
0.9110,24.4230,0.5150,84.20,1.0840,2025-01-09 13:11:37,1.0
0.89,24.3770,0.6580,83.97,1.0380,2025-01-09 13:11:37,1.0
0.8930,24.3050,0.5780,84.25,1.0330,2025-01-09 13:11:37,1.0
0.87,24.2660,0.4620,83.84,1.0260,2025-01-09 13:11:37,1.0
0.89,24.3330,0.7680,83.87,1.0330,2025-01-09 13:11:37,1.0
0.9070,24.3610,0.6380,84.22,1.0230,2025-01-09 13:11:37,1.0
0.8680,24.2540,0.4570,84.18,1.0340,2025-01-09 13:11:37,1.0
0.8650,24.3270,0.64,84.16,1.0440,2025-01-09 13:11:37,1.0
0.8890,24.34,0.4190,84.01,1.0460,2025-01-09 13:11:37,1.0
0.8470,24.26,1.3970,84.17,1.0040,2025-01-09 13:11:37,1.0
0.8920,24.3010,0.4170,84.08,1.0770,2025-01-09 13:11:37,1.0
0.8880,24.2980,0.4720,84.02,1.0460,2025-01-09 13:11:37,1.0
0.9090,24.3450,0.4140,84.37,1.0330,2025-01-09 13:11:37,1.0
0.9020,24.3360,0.5220,84.16,1.07,2025-01-09 13:11:37,1.0
0.9090,24.3530,0.4870,84.14,1.0910,2025-01-09 13:11:37,1.0
0.9290,24.3590,0.5850,84.17,1.0420,2025-01-09 13:11:37,1.0
0.86,24.27,1.1980,83.85,0.9730,2025-01-09 13:11:37,1.0
0.9110,24.4450,1.0150,84.16,1.0370,2025-01-09 19:01:50,2.0
0.9060,24.3390,1.0520,84.33,1.0280,2025-01-09 19:01:50,2.0
0.8920,24.3570,0.5270,83.75,1.04,2025-01-09 19:01:50,2.0
0.9240,24.4090,0.7160,84.07,1.0970,2025-01-09 19:01:50,2.0
0.8870,24.3390,0.7160,83.95,1.0060,2025-01-09 19:01:50,2.0
0.9180,24.3310,0.3190,84.15,1.0730,2025-01-09 19:01:50,2.0
0.9070,24.3650,0.6480,84,1.0690,2025-01-09 19:01:50,2.0
0.9320,24.3850,0.57,84.42,1.0920,2025-01-09 19:01:50,2.0
0.86,24.3770,0.4040,83.93,0.9940,2025-01-09 19:01:50,2.0
0.8530,24.3250,0.4370,83.91,0.9750,2025-01-09 19:01:50,2.0
0.92,24.4370,0.5830,84.10,1.03,2025-01-09 19:01:50,2.0
0.9020,24.2690,0.4350,84.28,1.0280,2025-01-09 19:01:50,2.0
0.8970,24.3830,0.5830,84.22,1.0480,2025-01-09 19:01:50,2.0
0.9030,24.3460,0.47,84.07,1.0780,2025-01-09 19:01:50,2.0
0.9290,24.4310,0.5150,84.26,1.0460,2025-01-09 19:01:50,2.0
0.8770,24.2950,0.6250,83.99,0.9750,2025-01-09 19:01:50,2.0
0.8850,24.2520,0.7310,83.99,0.9590,2025-01-09 19:01:50,2.0
0.9250,24.3240,0.9720,84.20,1.0010,2025-01-09 19:01:50,2.0
0.8980,24.3610,0.4040,84.22,1.0160,2025-01-09 19:01:50,2.0
0.8820,24.3670,0.6810,84.01,0.9680,2025-01-09 19:01:50,2.0
0.9090,24.2970,0.6050,84.25,1.0830,2025-01-09 21:16:57,3.0
0.9150,24.3480,0.6050,84.09,1.0320,2025-01-09 21:16:57,3.0
0.9130,24.2920,0.3570,84.04,1.0640,2025-01-09 21:16:57,3.0
0.9330,24.2730,0.5350,84.21,1.1060,2025-01-09 21:16:57,3.0
