M,C,d,L,R,T,N
0.9770,24.2810,0.5050,84.4510,1.0470,2025-01-02 12:06:21,0.0
0.99,24.2280,0.6090,84.1960,1.0220,2025-01-02 12:06:21,0.0
1.0240,24.3530,0.4290,84.2690,1.1530,2025-01-02 12:06:21,0.0
0.9840,24.2620,0.5360,83.9310,1.0970,2025-01-02 12:06:21,0.0
1.0030,24.2490,0.5210,83.8140,0.9930,2025-01-02 12:06:21,0.0
1.0280,24.3450,0.6310,83.9560,1.15,2025-01-02 12:06:21,0.0
1.01,24.3750,0.3450,83.9560,1.1450,2025-01-02 12:06:21,0.0
1.0230,24.2410,0.5860,84.1750,1.1550,2025-01-02 12:06:21,0.0
0.9950,24.1910,0.5270,83.9980,1.0840,2025-01-02 12:06:21,0.0
0.9810,24.1730,0.4060,83.54,1.1310,2025-01-02 12:06:21,0.0
0.9950,24.3320,0.5960,84.4360,1.0770,2025-01-02 12:06:21,0.0
0.9680,24.3550,0.4120,83.64,1.0430,2025-01-02 12:06:21,0.0
0.99,24.3270,0.4990,84.0730,1.0970,2025-01-02 12:06:21,0.0
0.9780,24.3170,0.5060,83.6310,1.0760,2025-01-02 12:06:21,0.0
0.9570,24.33,0.2460,83.5410,1.0930,2025-01-02 12:06:21,0.0
0.9750,24.17,0.3620,83.7820,1,2025-01-02 12:06:21,0.0
0.9770,24.1940,0.43,83.6780,1.0680,2025-01-02 12:06:21,0.0
1.0390,24.3840,0.6610,84.3410,1.1180,2025-01-02 12:06:21,0.0
1.0060,24.2120,0.7450,83.9250,1.1310,2025-01-02 12:06:21,0.0
0.9990,24.3230,0.2620,83.9770,1.0720,2025-01-02 12:06:21,0.0
0.9790,24.2530,0.5140,84.03,1.0240,2025-01-02 12:16:23,1.0
1.0130,24.30,0.3650,83.9840,1.1270,2025-01-02 12:16:23,1.0
0.9710,24.3290,0.5340,84.0430,1.0080,2025-01-02 12:16:23,1.0
0.9850,24.2450,0.3150,84.1640,1.0410,2025-01-02 12:16:23,1.0
0.9680,24.2360,0.3950,84.1010,1.0880,2025-01-02 12:16:23,1.0
0.99,24.33,0.3110,83.9770,1.0540,2025-01-02 12:16:23,1.0
0.9960,24.3850,0.4510,84.07,1.0440,2025-01-02 12:16:23,1.0
0.9610,24.3680,0.2920,84.0680,1.0310,2025-01-02 12:16:23,1.0
0.9550,24.2670,0.3180,84.1330,1.0440,2025-01-02 12:16:23,1.0
0.9590,24.3280,0.8480,84.1550,1.0430,2025-01-02 12:16:23,1.0
0.9650,24.25,0.4110,84.0550,1.0370,2025-01-02 12:16:23,1.0
0.9520,24.3140,0.3530,83.8840,1.0570,2025-01-02 12:16:23,1.0
0.9570,24.2030,0.63,84.2180,1.0870,2025-01-02 12:16:23,1.0
0.9730,24.2840,0.3820,84.2130,1.0390,2025-01-02 12:16:23,1.0
0.96,24.2520,0.4010,84.2020,0.9750,2025-01-02 12:16:23,1.0
0.98,24.2960,0.3410,84.2210,1.0750,2025-01-02 12:16:23,1.0
0.9490,24.28,0.4390,83.8810,1.0840,2025-01-02 12:16:23,1.0
0.9550,24.2970,0.7970,84.2190,1.0820,2025-01-02 12:16:23,1.0
0.9480,24.2340,0.3020,84.16,1.0540,2025-01-02 12:16:23,1.0
0.9610,24.2960,0.4940,83.9390,1.0720,2025-01-02 12:16:23,1.0
0.9390,24.3270,0.7790,83.9980,0.9770,2025-01-02 12:21:24,2.0
