M,C,d,L,R,T,N
1.0250,24.2760,0.4950,83.97,0.8770,2025-01-02 12:00:50,0.0
1.0090,24.3530,0.5630,83.86,0.8780,2025-01-02 12:00:50,0.0
1.0310,24.2890,0.6710,83.97,0.9250,2025-01-02 12:00:50,0.0
1.03,24.3110,0.5470,83.93,0.9010,2025-01-02 12:00:50,0.0
1.0340,24.3340,0.5150,84.10,0.95,2025-01-02 12:00:50,0.0
1.0040,24.3570,0.7410,83.77,0.8760,2025-01-02 12:00:50,0.0
1.0430,24.3430,0.4550,84.22,0.9180,2025-01-02 12:00:50,0.0
0.9970,24.3650,0.5150,84.14,0.9270,2025-01-02 12:00:50,0.0
1.04,24.3380,0.5650,83.82,0.8550,2025-01-02 12:00:50,0.0
1.0540,24.3360,0.6330,84.10,0.9330,2025-01-02 12:00:50,0.0
1.0020,24.3170,0.5850,84,0.9380,2025-01-02 12:00:50,0.0
1.0030,24.29,0.9340,84.02,0.8410,2025-01-02 12:00:50,0.0
1.0460,24.3150,0.48,83.86,0.8650,2025-01-02 12:00:50,0.0
1.0150,24.2590,0.4720,84.12,0.8950,2025-01-02 12:00:50,0.0
1.04,24.2650,0.5050,84.19,0.9020,2025-01-02 12:00:50,0.0
1.0150,24.2580,0.4190,84.14,0.86,2025-01-02 12:00:50,0.0
1.0510,24.3740,0.4720,84,0.8920,2025-01-02 12:00:50,0.0
1.0230,24.3410,0.4970,83.82,0.8930,2025-01-02 12:00:50,0.0
0.9950,24.3220,0.62,83.97,0.8780,2025-01-02 12:00:50,0.0
1.0410,24.3780,0.5320,83.81,0.9630,2025-01-02 12:00:50,0.0
1.0120,24.42,0.3970,83.74,0.8610,2025-01-02 12:05:51,1.0
1.0510,24.4180,0.2490,83.88,0.9450,2025-01-02 12:05:51,1.0
1.06,24.3810,0.4070,83.84,0.9440,2025-01-02 12:05:51,1.0
1.0240,24.3780,0.7130,83.43,0.9040,2025-01-02 12:05:51,1.0
1.0010,24.3050,0.3590,83.66,0.9010,2025-01-02 12:05:51,1.0
1.0520,24.3440,0.7010,83.96,0.9050,2025-01-02 12:05:51,1.0
1.0480,24.4690,0.3320,83.62,0.9150,2025-01-02 12:05:51,1.0
1.0450,24.4250,0.4770,83.93,0.93,2025-01-02 12:05:51,1.0
1.0180,24.2420,0.4870,83.57,0.9190,2025-01-02 12:05:51,1.0
1.0130,24.3710,0.6430,83.79,0.9460,2025-01-02 12:05:51,1.0
1.0190,24.3030,0.4470,83.66,0.9380,2025-01-02 12:05:51,1.0
1.0570,24.4120,0.3620,83.91,0.9340,2025-01-02 12:05:51,1.0
1.0050,24.4460,0.2860,83.54,0.8840,2025-01-02 12:05:51,1.0
1.0180,24.3080,0.3670,84.26,0.8650,2025-01-02 12:05:51,1.0
1.02,24.3720,0.3920,83.66,0.8920,2025-01-02 12:05:51,1.0
1.0020,24.4030,0.4250,83.76,0.9520,2025-01-02 12:05:51,1.0
1.0350,24.35,0.3720,83.67,0.9230,2025-01-02 12:05:51,1.0
1.0550,24.4090,0.3890,83.78,0.8640,2025-01-02 12:05:51,1.0
1.0060,24.3970,0.3640,83.87,0.9050,2025-01-02 12:05:51,1.0
0.9930,24.3980,0.6730,83.46,0.9570,2025-01-02 12:05:51,1.0
1.0680,24.3490,0.5980,83.70,0.8640,2025-01-02 12:10:52,2.0
1.0460,24.2840,0.4420,84.09,0.9180,2025-01-02 12:10:52,2.0
1.0540,24.3580,0.2710,83.62,0.9360,2025-01-02 12:10:52,2.0
1.0750,24.3230,0.3360,83.80,0.9130,2025-01-02 12:10:52,2.0
1.0640,24.3460,0.3540,83.75,0.9810,2025-01-02 12:10:52,2.0
1.0220,24.2870,0.5430,83.54,0.9240,2025-01-02 12:10:52,2.0
1.0770,24.3140,0.3640,83.68,0.9770,2025-01-02 12:10:52,2.0
1.0390,24.3370,0.4450,83.67,0.9130,2025-01-02 12:10:52,2.0
1.0580,24.2830,0.3470,83.92,0.9770,2025-01-02 12:10:52,2.0
1.0420,24.3340,0.3170,83.76,0.9390,2025-01-02 12:10:52,2.0
1.0580,24.3680,0.4470,83.54,0.8750,2025-01-02 12:10:52,2.0
1.0690,24.35,0.3890,83.96,1.0010,2025-01-02 12:10:52,2.0
1.0420,24.2790,0.6180,83.77,0.9340,2025-01-02 12:10:52,2.0
1.0310,24.2530,0.3690,83.94,0.9660,2025-01-02 12:10:52,2.0
1.0540,24.3340,0.3620,83.80,0.9250,2025-01-02 12:10:52,2.0
1.0430,24.2610,0.3820,83.93,0.9660,2025-01-02 12:10:52,2.0
1.0180,24.29,0.3620,83.82,0.8920,2025-01-02 12:10:52,2.0
1.0660,24.2840,0.3820,83.80,0.9750,2025-01-02 12:10:52,2.0
1.0390,24.3410,0.3040,83.94,0.9440,2025-01-02 12:10:52,2.0
1.0510,24.2880,0.3820,83.86,0.9840,2025-01-02 12:10:52,2.0
1.0540,24.4160,0.3120,84.02,0.8710,2025-01-02 12:15:54,3.0
1.0110,24.4440,0.3390,84.04,0.8870,2025-01-02 12:15:54,3.0
1.0330,24.3260,0.5550,84.19,0.9080,2025-01-02 12:15:54,3.0
1.01,24.2510,0.6380,83.99,0.8740,2025-01-02 12:15:54,3.0
1.0470,24.4270,0.5270,83.95,0.9060,2025-01-02 12:15:54,3.0
1.0210,24.2590,0.3340,84.25,0.9360,2025-01-02 12:15:54,3.0
1.0270,24.4030,0.3490,84.03,0.89,2025-01-02 12:15:54,3.0
1.0380,24.3770,0.5280,84.02,0.8730,2025-01-02 12:15:54,3.0
1.0160,24.3680,0.3890,83.97,0.9340,2025-01-02 12:15:54,3.0
1.0690,24.3640,0.4420,84.09,0.8980,2025-01-02 12:15:54,3.0
1.06,24.3990,0.2590,83.93,0.9330,2025-01-02 12:15:54,3.0
