M,C,d,L,R,T,N
0.5190,16.9580,0.4760,96.9560,1.8860,2025-01-05 19:11:58,0.0
0.5350,16.9270,0.4620,97.16,2.1210,2025-01-05 19:11:58,0.0
0.5130,16.9710,0.4760,97.1970,1.8160,2025-01-05 19:11:58,0.0
0.5140,16.9870,0.4480,97.1410,1.8190,2025-01-05 19:11:58,0.0
0.52,16.9520,0.4340,96.9960,1.9830,2025-01-05 19:11:58,0.0
0.51,16.8920,0.4580,97.1720,1.9480,2025-01-05 19:11:58,0.0
0.5230,17.0650,0.4160,97.0130,1.9590,2025-01-05 19:11:58,0.0
0.5260,17.0150,0.41,97.1190,1.8920,2025-01-05 19:11:58,0.0
0.5110,16.9550,0.4650,96.9880,1.8850,2025-01-05 19:11:58,0.0
0.5460,17.1370,0.6270,97.14,2.0080,2025-01-05 19:11:58,0.0
0.5150,16.8730,0.3850,97.2530,1.9940,2025-01-05 19:11:58,0.0
0.5220,16.98,0.4550,96.9920,2.0090,2025-01-05 19:11:58,0.0
0.52,17.0180,0.3780,96.8320,1.9230,2025-01-05 19:11:58,0.0
0.5150,16.9170,0.4340,96.9360,1.9080,2025-01-05 19:11:58,0.0
0.5280,17.0090,0.4830,97.1540,1.9710,2025-01-05 19:11:58,0.0
0.5190,16.8640,0.4720,97.3650,2.0040,2025-01-05 19:11:58,0.0
0.5180,17.0120,0.5880,97.1470,1.8670,2025-01-05 19:11:58,0.0
0.5050,16.9050,0.41,97.0520,1.9590,2025-01-05 19:11:58,0.0
0.5050,16.9110,0.3570,96.9470,1.8860,2025-01-05 19:11:58,0.0
0.5080,16.9990,0.5150,97.1320,1.9090,2025-01-05 19:11:58,0.0
0.5290,16.9520,0.4380,97.02,2.0540,2025-01-05 21:02:03,1.0
0.5340,16.99,0.3990,97.0480,1.9950,2025-01-05 21:02:03,1.0
0.5350,17.0340,0.3810,96.9070,2.0280,2025-01-05 21:02:03,1.0
0.5340,17.0050,0.3750,96.8170,2.0030,2025-01-05 21:02:03,1.0
0.5320,16.9710,0.3810,97.0740,1.9970,2025-01-05 21:02:03,1.0
0.50,16.9770,0.4170,96.9750,1.7780,2025-01-05 21:02:03,1.0
0.5150,17.0240,0.4650,97.0360,1.9330,2025-01-05 21:02:03,1.0
0.52,16.9770,0.3530,97.0490,1.9640,2025-01-05 21:02:03,1.0
0.5330,17.0650,0.3960,96.8710,1.9830,2025-01-05 21:02:03,1.0
0.5350,16.93,0.49,97.1430,2.10,2025-01-05 21:02:03,1.0
0.5260,17.0810,0.42,96.9240,1.9940,2025-01-05 21:02:03,1.0
0.5220,17.0050,0.5290,96.9220,1.9330,2025-01-05 21:02:03,1.0
0.5040,16.9610,0.4660,97.0930,1.9420,2025-01-05 21:02:03,1.0
0.5530,17.0370,0.3780,97.1410,2.1090,2025-01-05 21:02:03,1.0
0.5460,17.0490,0.4170,96.8720,1.93,2025-01-05 21:02:03,1.0
0.5190,16.9550,0.5770,97.0450,1.9570,2025-01-05 21:02:03,1.0
0.53,16.9930,0.4270,97.0220,1.9610,2025-01-05 21:02:03,1.0
0.5350,17.0810,0.5850,96.81,1.99,2025-01-05 21:02:03,1.0
0.54,17.0870,0.4730,97.0450,2.0430,2025-01-05 21:02:03,1.0
0.5190,16.9610,0.4090,97.1210,2.0390,2025-01-05 21:02:03,1.0
0.5180,16.9110,0.5040,97.0750,1.9390,2025-01-06 11:05:00,2.0
0.5180,16.98,0.4340,96.9950,1.9990,2025-01-06 11:05:00,2.0
0.53,16.9870,0.5780,96.9580,2.0030,2025-01-06 11:05:00,2.0
0.5360,16.9990,0.3850,96.9520,2.0690,2025-01-06 11:05:00,2.0
