M,C,d,L,R,T,N
0.5420,16.9210,0.3990,96.6380,1.7980,2025-01-02 11:30:35,0.0
0.5370,16.9460,0.6830,96.9130,1.8610,2025-01-02 11:30:35,0.0
0.5380,16.8550,0.6930,97.2380,1.79,2025-01-02 11:30:35,0.0
0.5360,16.8860,0.7180,97.1020,1.7760,2025-01-02 11:30:35,0.0
0.5380,16.8950,0.5320,97.2180,1.7260,2025-01-02 11:30:35,0.0
0.5360,16.8390,0.5810,97.1910,1.79,2025-01-02 11:30:35,0.0
0.5250,16.9680,0.4410,97.1980,1.7290,2025-01-02 11:30:35,0.0
0.5280,16.8230,0.5010,97.2180,1.7990,2025-01-02 11:30:35,0.0
0.5390,16.9210,0.5910,97.0660,1.8230,2025-01-02 11:30:35,0.0
0.56,16.9170,0.6230,96.9720,1.89,2025-01-02 11:30:35,0.0
0.5280,16.7980,0.5560,97.2060,1.7770,2025-01-02 11:30:35,0.0
0.53,16.8580,0.5780,97.1640,1.7590,2025-01-02 11:30:35,0.0
0.5410,17.0020,0.5880,96.6870,1.7460,2025-01-02 11:30:35,0.0
0.5410,16.99,0.6330,96.79,1.8530,2025-01-02 11:30:35,0.0
0.5130,16.9140,0.6790,96.9030,1.72,2025-01-02 11:30:35,0.0
0.5310,16.93,0.6330,97.1030,1.82,2025-01-02 11:30:35,0.0
0.5360,16.9210,0.6160,97.1530,1.7660,2025-01-02 11:30:35,0.0
0.5190,16.9430,0.5710,97.4190,1.7240,2025-01-02 11:30:35,0.0
0.54,17.0050,0.6060,96.7910,1.8180,2025-01-02 11:30:35,0.0
0.5310,16.93,0.5350,97.33,1.6680,2025-01-02 11:30:35,0.0
0.5540,17.0240,0.6090,97.01,1.8850,2025-01-02 19:10:50,1.0
0.5460,17.0590,0.6510,96.8530,1.7080,2025-01-02 19:10:50,1.0
0.5250,16.9430,0.5320,96.7440,1.7750,2025-01-02 19:10:50,1.0
0.55,17.0150,0.6680,96.8590,1.8790,2025-01-02 19:10:50,1.0
0.5230,16.9870,0.5150,97.1720,1.6990,2025-01-02 19:10:50,1.0
0.5360,17.0180,0.5560,97.1810,1.8060,2025-01-02 19:10:50,1.0
0.53,17.0430,0.56,96.8490,1.7240,2025-01-02 19:10:50,1.0
0.5440,17.0090,0.7070,96.9960,1.8080,2025-01-02 19:10:50,1.0
0.5360,16.9140,0.7350,97.2330,1.8040,2025-01-02 19:10:50,1.0
0.5290,16.9830,0.4310,96.7640,1.6580,2025-01-02 19:10:50,1.0
0.5260,17.0240,0.7670,97.0570,1.7120,2025-01-02 19:10:50,1.0
0.5180,17.0240,0.6230,97.1930,1.7090,2025-01-02 19:10:50,1.0
0.5260,16.9710,0.7170,96.82,1.66,2025-01-02 19:10:50,1.0
0.5290,17.0530,0.5530,97.2620,1.6040,2025-01-02 19:10:50,1.0
0.53,17.04,0.5670,97.0820,1.6580,2025-01-02 19:10:50,1.0
0.5230,17.0310,0.4410,97.2130,1.7150,2025-01-02 19:10:50,1.0
0.5320,17.0310,0.49,97.0640,1.7790,2025-01-02 19:10:50,1.0
0.5190,17.0590,0.62,97.1130,1.7210,2025-01-02 19:10:50,1.0
0.5320,17.0530,0.6720,97.2380,1.8190,2025-01-02 19:10:50,1.0
0.5410,17.0710,0.5430,96.8830,1.7390,2025-01-02 19:10:50,1.0
0.52,16.9870,0.7490,96.9760,1.7560,2025-01-02 21:00:52,2.0
0.5470,17.0840,0.56,97.0690,1.7580,2025-01-02 21:00:52,2.0
0.5430,17.0120,0.5630,96.8090,1.7510,2025-01-02 21:00:52,2.0
0.5370,17.0840,0.5810,96.9380,1.7260,2025-01-02 21:00:52,2.0
0.5540,17.0590,0.6550,96.7780,1.7540,2025-01-02 21:00:52,2.0
0.5350,17.04,0.4060,96.9260,1.7270,2025-01-02 21:00:52,2.0
0.5370,16.99,0.5980,97.1030,1.8270,2025-01-02 21:00:52,2.0
0.5160,16.9930,0.6370,97.1310,1.6770,2025-01-02 21:00:52,2.0
0.5170,17.0310,0.56,97.2460,1.7020,2025-01-02 21:00:52,2.0
0.5210,16.9650,0.4970,97.1290,1.6810,2025-01-02 21:00:52,2.0
0.5420,17.0490,0.6680,97.1160,1.7320,2025-01-02 21:00:52,2.0
0.5520,17.0680,0.55,97.2180,1.82,2025-01-02 21:00:52,2.0
0.5240,17.0780,0.7040,96.9250,1.78,2025-01-02 21:00:52,2.0
0.5310,17.0780,0.6120,96.8960,1.76,2025-01-02 21:00:52,2.0
0.5430,17.0050,0.5640,96.9410,1.7480,2025-01-02 21:00:52,2.0
0.5410,17.0530,0.5770,97.1850,1.7570,2025-01-02 21:00:52,2.0
0.5290,17.0180,0.6160,96.9570,1.8250,2025-01-02 21:00:52,2.0
0.5340,17.0050,0.3780,96.9840,1.7940,2025-01-02 21:00:52,2.0
0.53,17.0650,0.76,97.0520,1.6810,2025-01-02 21:00:52,2.0
0.55,17.0710,0.5460,97.2280,1.9570,2025-01-02 21:00:52,2.0
0.5390,16.9870,0.5280,97.1990,1.9270,2025-01-03 11:25:31,3.0
0.5550,17.1780,0.5150,96.84,1.7780,2025-01-03 11:25:31,3.0
0.5260,16.9740,0.6130,97.1770,1.7530,2025-01-03 11:25:31,3.0
