M,C,d,L,R,T,N
0.5990,16.9960,0.5950,96.9310,1.5010,2025-01-02 11:20:33,0.0
0.5880,16.9210,0.3810,97.1440,1.3920,2025-01-02 11:20:33,0.0
0.5910,16.9080,0.6160,96.9970,1.3550,2025-01-02 11:20:33,0.0
0.5960,16.9740,0.2870,96.88,1.5040,2025-01-02 11:20:33,0.0
0.5950,17.0120,0.3610,97.1970,1.42,2025-01-02 11:20:33,0.0
0.5760,16.8730,0.6370,97.1040,1.3460,2025-01-02 11:20:33,0.0
0.58,16.8480,0.5360,97.0210,1.4230,2025-01-02 11:20:33,0.0
0.6090,16.9550,0.4480,97.0920,1.47,2025-01-02 11:20:33,0.0
0.5820,16.8950,0.5070,96.93,1.4390,2025-01-02 11:20:33,0.0
0.5920,16.9080,0.49,97.1510,1.45,2025-01-02 11:20:33,0.0
0.5910,16.8360,0.49,96.8690,1.49,2025-01-02 11:20:33,0.0
0.5760,16.8640,0.5110,97.1080,1.4560,2025-01-02 11:20:33,0.0
0.5780,16.9650,0.6890,97.1220,1.3180,2025-01-02 11:20:33,0.0
0.5910,16.8920,0.6370,97.1590,1.4470,2025-01-02 11:20:33,0.0
0.60,16.93,0.3110,96.9730,1.4710,2025-01-02 11:20:33,0.0
0.5890,16.9240,0.5810,96.9590,1.3920,2025-01-02 11:20:33,0.0
0.5940,17.1190,0.5110,97.0290,1.4330,2025-01-02 11:20:33,0.0
0.5660,16.8950,0.3570,97.0170,1.3570,2025-01-02 11:20:33,0.0
0.5630,16.8770,0.5080,97.04,1.3680,2025-01-02 11:20:33,0.0
0.5930,16.9710,0.5040,96.9830,1.3820,2025-01-02 11:20:33,0.0
0.5720,16.9240,0.4620,96.9150,1.4150,2025-01-02 12:45:38,1.0
0.5820,17.1560,0.5250,97.0940,1.33,2025-01-02 12:45:38,1.0
0.5540,17.0370,0.4060,97.3010,1.3620,2025-01-02 12:45:38,1.0
0.5790,16.9830,0.6650,97.0160,1.3690,2025-01-02 12:45:38,1.0
0.5710,16.8990,0.4970,96.8760,1.4280,2025-01-02 12:45:38,1.0
0.5870,16.9870,0.5710,97.0960,1.4050,2025-01-02 12:45:38,1.0
0.5630,16.8860,0.5320,97.0110,1.3950,2025-01-02 12:45:38,1.0
0.61,16.9360,0.4790,97.0190,1.3470,2025-01-02 12:45:38,1.0
0.5870,16.9650,0.5530,97.1290,1.3990,2025-01-02 12:45:38,1.0
0.5880,16.9520,0.5010,97.1930,1.3670,2025-01-02 12:45:38,1.0
0.5760,16.9240,0.5530,96.9840,1.4190,2025-01-02 12:45:38,1.0
0.5830,17.0090,0.49,97.1540,1.3460,2025-01-02 12:45:38,1.0
0.5880,16.8890,0.3740,97.0680,1.3970,2025-01-02 12:45:38,1.0
0.5710,16.9020,0.49,97.2450,1.3320,2025-01-02 12:45:38,1.0
0.5980,17.0490,0.5290,97.0530,1.4570,2025-01-02 12:45:38,1.0
0.5780,16.9170,0.4480,97.1350,1.3690,2025-01-02 12:45:38,1.0
0.5920,16.9960,0.4760,97.1160,1.4630,2025-01-02 12:45:38,1.0
0.5960,16.98,0.2170,97.1380,1.3980,2025-01-02 12:45:38,1.0
0.5860,16.9770,0.5460,96.9840,1.3330,2025-01-02 12:45:38,1.0
0.5560,16.9550,0.5460,97.03,1.36,2025-01-02 12:45:38,1.0
0.60,17.2760,0.7040,97.0290,1.3990,2025-01-02 19:00:48,2.0
0.5990,17.1750,0.3430,97.0390,1.38,2025-01-02 19:00:48,2.0
0.58,17.1310,0.4520,97.0660,1.3150,2025-01-02 19:00:48,2.0
0.5990,17.1660,0.4270,96.8990,1.4270,2025-01-02 19:00:48,2.0
0.57,17.1250,0.50,96.9750,1.4330,2025-01-02 19:00:48,2.0
0.5830,17.2660,0.5390,96.9090,1.3130,2025-01-02 19:00:48,2.0
0.5670,17.0650,0.2210,97.1090,1.3570,2025-01-02 19:00:48,2.0
0.5670,17.1690,0.3150,97.0820,1.3940,2025-01-02 19:00:48,2.0
0.5880,17.1410,0.5710,97.0930,1.2410,2025-01-02 19:00:48,2.0
0.5890,17.1850,0.5320,96.9380,1.3560,2025-01-02 19:00:48,2.0
0.5730,17.1720,0.3220,96.9650,1.3510,2025-01-02 19:00:48,2.0
0.5890,17.0620,0.2450,97.1140,1.4880,2025-01-02 19:00:48,2.0
0.58,17.21,0.3010,97.03,1.35,2025-01-02 19:00:48,2.0
0.59,17.1120,0.4380,97.0250,1.4030,2025-01-02 19:00:48,2.0
0.5970,17.1530,0.2660,96.9920,1.4160,2025-01-02 19:00:48,2.0
0.5830,17.1590,0.6820,97.1130,1.3790,2025-01-02 19:00:48,2.0
0.5660,17.1280,0.4620,97.0140,1.4040,2025-01-02 19:00:48,2.0
0.5760,17.1060,0.70,97,1.3690,2025-01-02 19:00:48,2.0
0.5990,17.0430,0.4550,97.0150,1.4850,2025-01-02 19:00:48,2.0
0.5670,17.0460,0.3810,97.0710,1.3630,2025-01-02 19:00:48,2.0
0.5550,17.0560,0.8570,97.1770,1.2880,2025-01-02 21:05:53,3.0
0.5750,17.0460,0.3990,96.9970,1.3470,2025-01-02 21:05:53,3.0
0.5880,17.1220,0.6230,96.8490,1.3490,2025-01-02 21:05:53,3.0
0.5840,16.9830,0.7910,96.9830,1.3870,2025-01-02 21:05:53,3.0
0.5690,17.1250,0.8120,97.0530,1.3620,2025-01-02 21:05:53,3.0
0.5890,17.1440,0.6410,97.0930,1.3820,2025-01-02 21:05:53,3.0
0.5930,17.0530,0.6130,96.9770,1.4180,2025-01-02 21:05:53,3.0
0.5760,17.1630,0.5910,97.0050,1.39,2025-01-02 21:05:53,3.0
0.59,17.1750,0.6650,96.9230,1.5060,2025-01-02 21:05:53,3.0
0.5820,17.0620,0.6620,96.9370,1.4080,2025-01-02 21:05:53,3.0
0.5770,16.99,0.4690,97.0770,1.4160,2025-01-02 21:05:53,3.0
0.5910,17.1690,0.8120,97.0140,1.3340,2025-01-02 21:05:53,3.0
0.5770,17.0970,0.5910,97.1360,1.3990,2025-01-02 21:05:53,3.0
0.5980,17.0810,0.4580,97.0060,1.4580,2025-01-02 21:05:53,3.0
0.5910,17.0620,0.6090,97.1130,1.36,2025-01-02 21:05:53,3.0
0.6030,17.1660,0.4690,96.9690,1.3580,2025-01-02 21:05:53,3.0
0.5930,17.1220,0.6060,96.9760,1.4520,2025-01-02 21:05:53,3.0
0.60,17.0930,0.4660,96.9940,1.4130,2025-01-02 21:05:53,3.0
0.5780,17.09,0.6510,97.0190,1.31,2025-01-02 21:05:53,3.0
0.5780,16.9830,0.7240,97.0180,1.3820,2025-01-02 21:05:53,3.0
0.56,16.7950,0.7870,97.0010,1.4160,2025-01-03 11:15:29,4.0
0.5970,17.0870,0.5840,96.9520,1.4230,2025-01-03 11:15:29,4.0
0.6110,16.9710,0.3330,97.02,1.3380,2025-01-03 11:15:29,4.0
0.5940,16.9050,0.6680,97.0460,1.30,2025-01-03 11:15:29,4.0
0.5980,16.9390,0.6120,96.9550,1.4130,2025-01-03 11:15:29,4.0
0.6030,16.9870,0.6410,96.9780,1.3780,2025-01-03 11:15:29,4.0
0.5650,16.9240,0.6720,97.0120,1.4280,2025-01-03 11:15:29,4.0
0.5870,16.9020,0.6760,96.9120,1.4250,2025-01-03 11:15:29,4.0
0.5880,16.7860,0.6480,97.0860,1.46,2025-01-03 11:15:29,4.0
0.6010,17.1630,0.5040,97.0580,1.4340,2025-01-03 11:15:29,4.0
0.5960,17.0590,0.6540,96.9850,1.41,2025-01-03 11:15:29,4.0
0.5930,17.0430,0.4580,96.9330,1.3670,2025-01-03 11:15:29,4.0
0.5930,17.0370,0.5670,96.9580,1.3260,2025-01-03 11:15:29,4.0
0.6060,16.9710,0.6410,96.8910,1.4140,2025-01-03 11:15:29,4.0
0.5920,17.0310,0.5320,96.7810,1.3870,2025-01-03 11:15:29,4.0
0.5950,17.0810,0.69,96.9420,1.41,2025-01-03 11:15:29,4.0
0.5670,16.9990,0.6580,96.8740,1.3350,2025-01-03 11:15:29,4.0
0.5650,16.7950,0.6480,96.93,1.4350,2025-01-03 11:15:29,4.0
0.6060,16.9490,0.5320,96.8520,1.5170,2025-01-03 11:15:29,4.0
0.5860,17.0710,0.6330,97.0240,1.3990,2025-01-03 11:15:29,4.0
0.6090,17.0090,0.5070,96.9150,1.4730,2025-01-03 12:55:37,5.0
0.5770,16.9360,0.6790,96.9480,1.2970,2025-01-03 12:55:37,5.0
0.59,17.0530,0.6370,96.9040,1.3990,2025-01-03 12:55:37,5.0
0.5860,16.9550,0.6540,97.0120,1.4210,2025-01-03 12:55:37,5.0
0.5770,16.9110,0.5780,96.9210,1.3810,2025-01-03 12:55:37,5.0
0.5750,17.1030,0.4580,96.9750,1.3030,2025-01-03 12:55:37,5.0
0.5850,16.9330,0.7810,97.0190,1.2760,2025-01-03 12:55:37,5.0
0.6060,16.9550,0.6510,96.9370,1.4430,2025-01-03 12:55:37,5.0
0.5950,17.1810,0.7390,96.9340,1.3910,2025-01-03 12:55:37,5.0
0.6130,17.1370,0.6610,97.02,1.4450,2025-01-03 12:55:37,5.0
0.5750,16.9990,0.6720,97.0560,1.3120,2025-01-03 12:55:37,5.0
0.60,16.9770,0.7460,97.1010,1.4190,2025-01-03 12:55:37,5.0
0.5670,17.0240,0.6270,97.1220,1.3230,2025-01-03 12:55:37,5.0
0.5630,16.8390,0.5080,97.0720,1.3060,2025-01-03 12:55:37,5.0
0.6030,17.0490,0.5670,97.1430,1.4470,2025-01-03 12:55:37,5.0
0.5950,16.8920,0.6160,96.92,1.3890,2025-01-03 12:55:37,5.0
0.5740,16.8510,0.7740,97.0990,1.3630,2025-01-03 12:55:37,5.0
0.5980,17.0090,0.5390,97.0070,1.3410,2025-01-03 12:55:37,5.0
0.5830,16.9930,0.5810,97.0360,1.3830,2025-01-03 12:55:37,5.0
0.5710,17.0530,0.6120,97.0170,1.31,2025-01-03 12:55:37,5.0
0.5980,16.9020,0.6610,96.9590,1.46,2025-01-03 21:15:58,6.0
0.5860,16.9210,0.6060,97.10,1.4630,2025-01-03 21:15:58,6.0
0.5690,16.8920,0.62,97.0620,1.3570,2025-01-03 21:15:58,6.0
0.5730,16.8510,0.4830,105.9480,1.4020,2025-01-03 21:15:58,6.0
0.57,17.0310,0.7810,97.0810,1.4050,2025-01-03 21:15:58,6.0
0.5750,16.8670,0.63,97.1040,1.4190,2025-01-03 21:15:58,6.0
0.5610,16.9580,0.6650,97.2310,1.4320,2025-01-03 21:15:58,6.0
0.5840,16.9490,0.5150,96.90,1.3870,2025-01-03 21:15:58,6.0
0.5860,17.0180,0.4020,97.2560,1.41,2025-01-03 21:15:58,6.0
0.5850,16.9110,0.7450,96.9310,1.3360,2025-01-03 21:15:58,6.0
0.5720,16.9020,0.63,97.0380,1.3720,2025-01-03 21:15:58,6.0
0.5680,16.87,0.7630,97.0770,1.3890,2025-01-03 21:15:58,6.0
0.5720,16.7860,0.6650,97.0430,1.3760,2025-01-03 21:15:58,6.0
0.5920,17.0490,0.7420,96.9920,1.3440,2025-01-03 21:15:58,6.0
0.58,16.8640,0.70,97.1430,1.3780,2025-01-03 21:15:58,6.0
0.5860,16.9360,0.5150,96.9130,1.3970,2025-01-03 21:15:58,6.0
0.5810,16.8770,0.5040,97.0440,1.3790,2025-01-03 21:15:58,6.0
0.5520,16.9550,0.5320,97.1730,1.3960,2025-01-03 21:15:58,6.0
0.5830,17.0090,0.6120,96.9890,1.3820,2025-01-03 21:15:58,6.0
0.5970,17.0370,0.6090,96.9090,1.4150,2025-01-03 21:15:58,6.0
0.5890,17.0310,0.5880,96.98,1.4520,2025-01-04 11:08:58,7.0
0.5710,16.8640,0.6540,97.1190,1.3090,2025-01-04 11:08:58,7.0
0.60,17.0270,0.3050,97.0650,1.3670,2025-01-04 11:08:58,7.0
0.5850,17.0050,0.55,96.9880,1.2310,2025-01-04 11:08:58,7.0
0.6280,16.98,0.5560,97.1290,1.5810,2025-01-04 11:08:58,7.0
0.5980,16.9140,0.4440,97.1240,1.3160,2025-01-04 11:08:58,7.0
0.5790,16.9930,0.3920,97.0910,1.4010,2025-01-04 11:08:58,7.0
0.6170,17.1410,0.5420,96.8320,1.4350,2025-01-04 11:08:58,7.0
0.5880,16.9650,0.6130,97.1780,1.3910,2025-01-04 11:08:58,7.0
0.5920,16.9870,0.5780,97.0020,1.3670,2025-01-04 11:08:58,7.0
0.6050,17.0530,0.3890,97.1170,1.4120,2025-01-04 11:08:58,7.0
0.5920,16.9460,0.42,96.9360,1.3980,2025-01-04 11:08:58,7.0
0.5740,17.0780,0.2940,97.0860,1.3260,2025-01-04 11:08:58,7.0
0.5710,16.9050,0.6160,97.0240,1.3880,2025-01-04 11:08:58,7.0
0.5990,16.9990,0.5880,96.9450,1.4210,2025-01-04 11:08:58,7.0
0.5840,16.9240,0.6230,97.0740,1.3130,2025-01-04 11:08:58,7.0
0.5790,16.9710,0.4270,97.0890,1.3470,2025-01-04 11:08:58,7.0
0.5870,16.9330,0.5670,96.9780,1.3840,2025-01-04 11:08:58,7.0
0.5770,16.9990,0.7070,97.0810,1.1940,2025-01-04 11:08:58,7.0
0.5880,16.9930,0.63,96.9280,1.34,2025-01-04 11:08:58,7.0
0.5720,17.0090,0.4790,96.9150,1.3720,2025-01-04 12:39:01,8.0
0.6060,17.0310,0.6190,97.0540,1.4110,2025-01-04 12:39:01,8.0
0.5690,16.8510,0.4440,97.0760,1.4330,2025-01-04 12:39:01,8.0
0.5820,17.0710,0.4970,97.0480,1.3940,2025-01-04 12:39:01,8.0
0.6020,16.9240,0.5320,97.0610,1.4750,2025-01-04 12:39:01,8.0
0.5780,16.9460,0.5670,96.9290,1.3370,2025-01-04 12:39:01,8.0
0.5910,16.9870,0.4690,96.9570,1.4950,2025-01-04 12:39:01,8.0
0.5740,16.9830,0.5630,97.0030,1.38,2025-01-04 12:39:01,8.0
0.5670,16.99,0.4940,97.1120,1.32,2025-01-04 12:39:01,8.0
0.5820,17.0210,0.5810,97.0730,1.4660,2025-01-04 12:39:01,8.0
0.5750,16.9390,0.6120,97.1070,1.3450,2025-01-04 12:39:01,8.0
0.5750,16.98,0.7350,97.1490,1.3270,2025-01-04 12:39:01,8.0
0.5690,16.9580,0.5980,96.9680,1.3370,2025-01-04 12:39:01,8.0
0.5920,16.9960,0.6750,97.0710,1.43,2025-01-04 12:39:01,8.0
0.5940,17.1340,0.5180,96.9620,1.4440,2025-01-04 12:39:01,8.0
0.5830,16.9740,0.6610,97.1750,1.3410,2025-01-04 12:39:01,8.0
0.5850,17.1120,0.4380,97.0550,1.5030,2025-01-04 12:39:01,8.0
0.5840,16.9520,0.6120,97.0310,1.4260,2025-01-04 12:39:01,8.0
0.5640,16.9680,0.7140,97.0730,1.3370,2025-01-04 12:39:01,8.0
0.5760,17.04,0.5530,97.0590,1.2750,2025-01-04 12:39:01,8.0
0.6010,16.9390,0.6440,96.9160,1.4050,2025-01-04 19:19:08,9.0
0.5970,17.0750,0.6190,97.0120,1.4060,2025-01-04 19:19:08,9.0
0.5820,17.1190,0.7310,97.0890,1.3680,2025-01-04 19:19:08,9.0
0.5990,17.04,0.6620,97.11,0.0150,2025-01-04 19:19:08,9.0
0.5790,16.9330,0.6130,97.0480,1.3350,2025-01-04 19:19:08,9.0
0.5610,16.8670,0.6960,97.1750,1.3970,2025-01-04 19:19:08,9.0
0.60,17.0050,0.5560,96.9480,1.5020,2025-01-04 19:19:08,9.0
0.5830,17.1030,0.5950,97.0980,1.3440,2025-01-04 19:19:08,9.0
0.5730,16.8920,0.6440,97.0190,1.3750,2025-01-04 19:19:08,9.0
0.5820,17.0780,0.4060,96.9460,1.4520,2025-01-04 19:19:08,9.0
0.5860,16.8990,0.7210,97.0140,1.34,2025-01-04 19:19:08,9.0
0.58,17.0590,0.7320,97.0640,1.3130,2025-01-04 19:19:08,9.0
0.5750,17.0370,0.6230,96.87,1.3940,2025-01-04 19:19:08,9.0
0.5950,17.1660,0.5710,96.9780,1.4410,2025-01-04 19:19:08,9.0
0.5970,17.0150,0.63,97.0540,1.5420,2025-01-04 19:19:08,9.0
