Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
9.90,6.10,8.03,1.16,0,0
11.60,7.20,8.76,0.99,0,1
10.30,6.10,8.59,1.14,0,2
10.40,6.90,8.62,1.10,0,3
11.30,6.70,8.61,1.28,0,4
10.40,6.50,8.01,0.97,0,5
10.40,6.40,8.10,1.35,0,6
12.10,6.60,8.55,1.58,0,7
9.20,6,7.49,1.01,0,8
9.80,6.30,8.25,1.05,0,9
10.60,6,8.18,1.24,0,10
9.90,6.90,8.50,0.90,0,11
10.10,6.50,8.11,1.05,0,12
16.50,4.90,8.50,2.38,0,13
10.40,6.40,7.76,1.10,0,14
9.90,6.30,7.89,1.07,0,15
10,5.40,7.16,1.18,0,16
10.60,6.60,8.22,1.25,0,17
10.40,6.50,8.58,1,0,18
10.10,6.90,8.21,0.97,0,19
11.10,6.50,8.42,1.19,0,20
10.60,5.20,7.35,1.23,0,21
12.30,5.80,7.90,1.55,0,22
9.30,6.20,7.51,1.02,0,23
11.40,5.40,8.36,1.67,0,24
13.30,6,8.49,1.48,0,25
9.10,4.80,7.21,0.96,0,26
10.20,5.80,8.38,1.22,0,27
20.70,4.70,7.80,3.48,0,28
11.90,4.70,7.79,1.81,0,29
11.70,6,8.30,1.24,0,30
9.20,4.60,6.93,1.20,0,31
30.20,6.70,9.32,5.13,0,32
10.20,6.80,8.36,0.98,0,33
12.30,7.30,8.97,1.24,0,34
12.60,7.90,9.40,1.32,0,35
12.40,6.40,8.60,1.41,0,36
10.80,8.20,9.33,0.78,0,37
10.90,6.90,8.83,1.03,0,38
20.90,8.10,10.03,2.74,0,39
10.60,7.30,8.34,0.80,0,40
10.70,7.90,9.06,0.82,0,41
8.40,4.60,6.53,0.95,0,42
9,5.50,6.85,0.96,0,43
8.20,4.50,6.09,0.99,0,44
10.50,4.80,6.26,1.33,0,45
8.10,5.40,6.61,0.63,0,46
9,3.90,6.11,1.27,0,47
8.20,4.20,5.65,0.87,0,48
8.20,4.30,6.07,1.12,0,49
7,4.50,5.54,0.58,0,50
12.60,7.30,8.74,1.33,0,51
10,6.80,8.01,0.73,0,52
9.80,5.50,7.19,1.03,0,53
11.80,7.80,9.46,0.94,0,54
11.30,7.10,9.08,1.07,0,55
9.30,5.50,6.98,0.95,0,56
17.10,6.10,8.26,2.30,0,57
8.30,4.40,6.36,1.02,0,58
11.40,7.20,8.86,1.11,0,59
9.30,5.30,7.25,1.02,0,60
11.10,5.90,8.47,1.20,0,61
9.10,6.50,7.89,0.73,0,62
12.50,5.80,7.67,1.34,0,63
17.10,7.30,9.04,2.23,0,64
9,6.20,7.85,0.70,0,65
12,5.80,7.99,1.39,0,66
9.70,6.30,7.78,0.86,0,67
12.90,6.90,8.49,1.78,0,68
11.60,7,8.21,1.12,0,69
12.80,6.50,8.41,1.46,0,70
11.20,6.50,7.74,1.04,0,71
9.30,5.50,7.19,1.07,0,72
12.50,6.50,8.31,1.33,0,73
9.60,6.60,8.21,0.84,0,74
9.50,4.90,7.14,1.13,0,75
11.80,5.10,7.41,1.32,0,76
9,6.20,7.43,0.89,0,77
10,7.80,9.14,0.60,0,78
12.20,6.10,8.71,1.39,0,79
17.80,7.50,9.05,2.22,0,80
11,6.20,8.38,1.05,0,81
10.80,6.50,8.45,0.91,0,82
11.30,7.40,9.02,1.03,0,83
9.50,6.90,7.93,0.69,0,84
10.30,6.80,8.27,0.99,0,85
9.60,6.40,8.54,0.79,0,86
10.80,6.30,7.99,1.08,0,87
10.80,7.20,8.38,0.97,0,88
12.50,7,8.69,1.22,0,89
10.50,6.70,8.88,1.05,0,90
10.80,6.70,8.51,0.98,0,91
9.60,5.10,7.71,1.06,0,92
15.40,4.70,8.54,2.02,0,93
25.10,5.90,9.01,3.93,0,94
11.10,5.80,7.62,1.09,0,95
9.30,6.20,7.17,0.84,0,96
9.90,6,7.76,0.96,0,97
9.90,6.20,7.77,1.09,0,98
9.60,6.80,8.16,0.89,0,99
9.70,6.70,7.86,0.84,0,100
11.30,6.20,8.77,1.57,0,101
10.80,7.60,8.85,0.89,0,102
12.70,7.20,9.58,1.40,0,103
14.40,7.60,10.03,1.80,0,104
10.60,6,8.40,1.32,0,105
10,7.20,8.93,0.83,0,106
10.90,5.70,8.67,1.29,0,107
8.20,4.80,6.20,1.04,0,108
10.30,6.20,7.62,1.14,0,109
9.50,5.90,8.10,1.11,0,110
8.20,4.10,5.70,0.91,0,111
9.90,5.50,8.11,1.17,0,112
7.40,3.50,5.41,0.95,0,113
11.10,6.20,8.17,1.03,0,114
10.80,6.80,8.74,0.91,0,115
14.60,6.20,8.17,1.88,0,116
9.50,5.90,8.01,0.97,0,117
10.70,6.80,8.67,1.15,0,118
11.70,6.40,8.55,1.27,0,119
9.30,6.60,7.97,0.81,0,120
10.20,6.60,8.41,1.02,0,121
11.20,6.90,8.39,1.06,0,122
9.20,6.30,8.17,0.70,0,123
14,7.20,9.85,1.58,0,124
10.50,5.50,7.71,1.14,0,125
11.80,6.10,9.08,1.23,0,126
11.80,7,8.51,1.20,0,127
13.10,7.50,9.38,1.27,0,128
10.90,7.20,8.45,0.91,0,129
9.80,6.40,8.42,0.86,0,130
9.90,6.60,8.01,0.96,0,131
11.20,7.30,8.83,1.11,0,132
10.30,5.70,8.45,0.92,0,133
9.80,6.70,8.06,0.88,0,134
11.20,7.90,9.30,0.85,0,135
10.30,7.60,8.63,0.76,0,136
11.90,7.70,9.26,1.19,0,137
11.80,7.40,9.29,1.09,0,138
11.20,7.90,9.63,0.91,0,139
14.80,7.60,10.33,1.54,0,140
13.10,8.90,10.46,1.22,0,141
15.30,8.50,10.85,1.57,0,142
12,7.60,9.72,1.15,0,143
11.60,7.70,9.03,0.99,0,144
11.40,7.70,9.77,1.08,0,145
12.20,8,10.23,1.43,0,146
12.80,8.40,10.02,1.27,0,147
12.50,8.80,10.43,0.92,0,148
10.90,6.80,9.50,0.88,0,149
11.20,7.70,9.52,1.02,0,150
12.10,7.50,9.94,1.23,0,151
13.40,7.70,10.05,1.37,0,152
13.30,9.80,11.31,1,0,153
24.20,18.50,21.29,1.29,0,154
41.60,7.90,13.17,8.19,0,155
11.30,5.80,8.42,1.51,0,156
17.10,9.90,12.35,1.88,0,157
10.80,8,9.37,0.86,0,158
12.40,7.60,10.16,1.20,0,159
10.10,7.60,8.72,0.74,0,160
13.30,7.10,9.37,1.38,0,161
11.60,8.20,9.89,0.98,0,162
12.30,7.20,9.41,1.28,0,163
17,7,9.49,2.13,0,164
12.70,7.80,9.54,1.28,0,165
11.20,6.90,9.51,0.96,0,166
11.80,8,9.37,1.21,0,167
13.30,7.50,9.92,1.35,0,168
11.70,7.20,9.82,1.29,0,169
