Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
31.80,21.80,26.78,2.72,0,0
35.50,19.60,28.40,3.70,0,1
31.10,21.70,26.27,2.63,0,2
35.10,20.90,27.51,3.82,0,3
33.70,21.10,27,2.72,0,4
33.80,19.40,25.47,4.09,0,5
33.70,18.10,24.78,3.81,0,6
29.10,17.10,22.92,3.05,0,7
29,23.70,26.53,1.45,0,8
31.10,24.60,27.99,1.76,0,9
31.50,23.90,28.19,1.81,0,10
35.80,25,28.93,2.87,0,11
31.90,24.70,28.77,1.64,0,12
32.60,25.70,28.95,2.01,0,13
44.90,24.30,29.91,4.04,0,14
40.10,24.70,28.30,3.67,0,15
35.80,24.70,29.03,2.51,0,16
34.40,25.70,29.65,2.24,0,17
84.30,24.60,31.21,12.68,0,18
83.80,24.50,29.79,12.84,0,19
30.10,25,27.90,1.34,0,20
35.80,27.30,30.46,2.21,0,21
40.30,25,32.16,3.70,0,22
84.10,25.70,33.23,12.18,0,23
35.30,23.70,29.44,2.46,0,24
38.20,24.80,28.79,2.90,0,25
34.10,25.40,28.81,2.58,0,26
37.90,25.20,29.31,2.63,0,27
31.60,25.90,28.63,1.65,0,28
38.50,22.10,29.82,3.67,0,29
43.30,23,30.05,4.33,0,30
49.20,27.80,32.47,4.67,0,31
84.50,22.30,31.24,13.06,0,32
33.20,27.80,30.31,1.49,0,33
35.20,26.80,30.32,2.29,0,34
33.90,25.10,30.24,2.02,0,35
36.80,27,29.79,2.64,0,36
38.60,26.50,30.71,2.84,0,37
33.20,27.10,29.93,1.76,0,38
34.20,27.30,31.15,1.75,0,39
35.10,25.60,30.13,2.45,0,40
33.20,27.50,30.01,1.55,0,41
38,25.90,31.49,3.64,0,42
43.90,27.30,32.88,4.23,0,43
33.40,28.10,30.90,1.77,0,44
46.30,27.60,31.39,4.29,0,45
46.60,22.80,28.87,4.87,0,46
33.70,24.70,27.75,1.91,0,47
46.70,26.50,30.11,4.40,0,48
32.40,25.70,28.83,1.94,0,49
33.10,25.10,28.78,2.10,0,50
32.90,24.20,27.85,2.46,0,51
33,26,28.86,1.63,0,52
36.50,24.40,28.85,2.75,0,53
31.20,25.90,28.41,1.49,0,54
32.30,24.80,28.69,2.30,0,55
31.30,22.90,27.32,2.04,0,56
83.70,25.40,30.20,12.69,0,57
83.80,24.90,30.44,12.67,0,58
33.20,25.10,28.94,2.44,0,59
