Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
22.60,16.50,19.12,1.59,0,0
21.30,15.30,18.14,1.60,0,1
21.10,16.90,19.20,1.30,0,2
20.60,15.40,17.92,1.38,0,3
20.60,15.10,17.81,1.56,0,4
20.80,15.50,18.14,1.56,0,5
18.80,14.90,16.71,1.29,0,6
19.60,15,17.58,0.98,0,7
19.70,14.10,16.54,1.41,0,8
19.40,13.80,16.72,1.54,0,9
22,15.10,18.19,1.53,0,10
20.80,14.50,17.40,1.37,0,11
19,13.20,17.63,1.23,0,12
21,14.10,18,2.02,0,13
20,14.70,17.53,1.58,0,14
53.90,14.90,19.56,8.30,0,15
21.20,15,17.29,1.40,0,16
21.10,13.90,17.79,1.91,0,17
21.80,15.10,17.81,1.56,0,18
25.50,15.30,19.01,1.96,0,19
21.40,17.30,19.33,1.07,0,20
20.50,15,17.65,1.38,0,21
20.10,15.50,17.95,1.35,0,22
24.40,19,21.60,1.50,0,23
23.70,18.40,21.47,1.34,0,24
24.50,18.60,21.17,1.54,0,25
23.60,18.10,21.56,1.36,0,26
22.20,17.20,20.21,1.37,0,27
23.60,18.10,19.96,1.59,0,28
28.10,17.50,21.15,2.48,0,29
22,15.70,18.38,1.49,0,30
20.40,16,17.91,1.28,0,31
20.90,13.90,17.22,1.48,0,32
21.80,15,18.57,1.91,0,33
20.80,14.40,18.09,1.87,0,34
21,14.10,18.17,1.86,0,35
20.40,14.60,17.42,1.44,0,36
21.10,15.50,18.18,1.67,0,37
19.30,14.40,17.24,1.08,0,38
11.70,6.60,9.60,1.27,0,39
27.90,18.10,20.68,2.23,0,40
23.10,16.30,20.17,1.63,0,41
22.40,15.90,19.20,1.84,0,42
23.60,18.50,20.55,1.43,0,43
22.50,17.70,19.98,1.31,0,44
24.40,17.30,21.01,1.69,0,45
20.90,16,18.67,1.46,0,46
21.10,17.20,19.23,0.93,0,47
21.20,14.60,18.22,1.69,0,48
21.60,15.20,19.01,1.74,0,49
23,16.80,20.45,1.40,0,50
21.50,15.40,18.61,1.51,0,51
21.50,16.10,19.01,1.33,0,52
19.70,15,17.16,1.28,0,53
23.70,15.70,19.14,1.84,0,54
22.60,15.30,18.81,1.78,0,55
22,16.20,18.63,1.41,0,56
19,15,17.31,1.34,0,57
19.80,15,17.65,1.51,0,58
21.10,15.10,17.87,1.36,0,59
20.90,15.50,17.94,1.39,0,60
19.20,14.80,16.85,1.19,0,61
18.90,14.50,16.93,1,0,62
21.10,16.90,18.97,1.12,0,63
19.50,15.80,17.59,1.03,0,64
19.20,14.80,17.58,1.07,0,65
22,14.80,17.23,1.74,0,66
19.70,15.60,17.70,1.36,0,67
21.80,14.70,18.46,1.85,0,68
22.10,16.20,18.65,1.71,0,69
20.70,15.40,18.02,1.37,0,70
21.50,16.80,19.18,1.42,0,71
22.20,15.90,17.95,1.41,0,72
18.60,14.10,16.76,1.27,0,73
23.20,17.50,19.59,1.70,0,74
21.60,16.10,19,1.41,0,75
21.10,17.20,19.30,1.25,0,76
12.40,8.80,10.69,1.13,0,77
23.70,17.10,20.26,1.58,0,78
21.80,17.90,20.21,1.04,0,79
22.40,18.40,20.10,1.19,0,80
21.70,16.20,19.38,1.41,0,81
22.30,18,19.90,1.30,0,82
22.40,18.30,20.28,1.18,0,83
23.80,16.90,19.53,1.61,0,84
23.50,18.20,21.31,1.41,0,85
22.10,15.50,19.65,1.62,0,86
21.60,15.40,18.55,1.64,0,87
21.70,15.90,19.10,1.64,0,88
22.90,18.30,20.50,1.24,0,89
24.10,19.10,21.27,1.42,0,90
24.70,17.10,20.41,1.81,0,91
21.90,17.30,19.12,1.15,0,92
22,16.60,18.67,1.53,0,93
