Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
12.80,6.90,9.58,1.14,0,0
10.90,6.70,8.59,1.11,0,1
10.80,6.80,9,0.96,0,2
12.80,7.40,9.37,1.36,0,3
12,7.70,10.31,1.07,0,4
13.20,8,10.83,1.16,0,5
12.50,7.90,10.15,1.06,0,6
11.50,7.60,9.33,1.04,0,7
12.90,8.60,10.85,1.22,0,8
13,9.80,11.59,0.84,0,9
11.90,8.20,9.73,1,0,10
13.60,7.60,10.64,1.52,0,11
12.40,7.40,10.56,1.21,0,12
12.30,9.70,10.77,0.89,0,13
11.40,8.10,9.27,0.82,0,14
13.70,8.20,10.31,1.62,0,15
13,9,10.66,1.14,0,16
12.80,7.90,10.14,1.25,0,17
12,8.70,10.23,0.90,0,18
12.60,7.90,10.49,1.51,0,19
11.10,8,9.49,0.87,0,20
11.90,8.40,10,0.80,0,21
10.80,8.10,9.25,0.76,0,22
14.10,6.40,10.28,1.84,0,23
12.90,7.30,10.16,1.66,0,24
11.60,7.40,9.33,1.07,0,25
12.80,8.20,10.20,1.01,0,26
11.60,7.20,8.96,1.11,0,27
14.10,8.80,11.40,1.64,0,28
13.30,9.30,10.71,1.20,0,29
12.60,7.50,9.77,1.24,0,30
11.30,8.20,9.93,0.86,0,31
10.20,6.90,8.90,0.92,0,32
15.70,7.20,10.93,1.76,0,33
13.60,8.70,10.34,1.22,0,34
12.60,8.40,10.16,1.01,0,35
12.20,8.50,9.91,0.96,0,36
10.40,7.50,9.07,0.83,0,37
14.80,7.90,10.38,1.94,0,38
12.90,8.30,10.39,1.13,0,39
12.10,7.90,10.22,1.21,0,40
11.70,8.70,10.41,0.90,0,41
11.80,8,9.89,0.93,0,42
12,7.70,9.86,1.12,0,43
13.10,8.20,10.49,1.37,0,44
11.10,6.90,9.41,1.14,0,45
12.40,8.40,10.20,1.05,0,46
11.20,7.70,9.66,0.96,0,47
14.50,7.10,10.85,2.03,0,48
13.50,8.70,10.79,1.51,0,49
12.40,7.70,9.67,1.21,0,50
12.70,8.20,10.64,1.08,0,51
12.80,8.30,10.15,1.19,0,52
14.90,8.10,10.63,1.82,0,53
13.70,7.70,10.10,1.93,0,54
13.10,9.10,11,1.24,0,55
12.50,8.30,10.55,1.09,0,56
13.40,8.20,10.61,1.43,0,57
15.50,7.50,10.28,1.92,0,58
13.30,8.20,11.01,1.61,0,59
12.10,8.50,10.47,0.83,0,60
15.50,8.90,10.98,1.37,0,61
12.60,7.60,10.35,1.16,0,62
16.70,8,11.61,2.57,0,63
14.40,7.80,11.63,2.08,0,64
16,9.40,12.74,2.15,0,65
12,7.60,9.99,1.23,0,66
11,8.40,9.55,0.75,0,67
13,8.70,10.38,1.02,0,68
11.60,7.20,9.16,1.13,0,69
13.80,8.70,11.23,1.32,0,70
14.30,8.20,10.64,1.54,0,71
11.60,7.30,9.65,1.01,0,72
