Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
9.50,6.30,7.30,0.85,0,0
7.40,5.20,6.21,0.71,0,1
15.30,4.10,6.44,3.06,0,2
29.90,6.10,9.46,4.95,0,3
33.80,6.10,9.81,5.85,0,4
7.60,4.50,6.03,0.79,0,5
7.40,5.20,6.26,0.72,0,6
8.60,5.70,6.86,0.80,0,7
14.30,6.60,8.50,2.08,0,8
14.10,5.60,8.21,1.75,0,9
9.40,5.60,7.92,1.05,0,10
9,6.50,7.54,0.67,0,11
10.40,6.30,8.13,0.93,0,12
11.40,7.10,8.63,1,0,13
9.10,6.60,7.85,0.74,0,14
9.80,6.80,8.41,0.80,0,15
16.80,7.20,9.37,2.41,0,16
8.80,6,7.33,0.63,0,17
8.30,5.40,6.88,0.57,0,18
12.90,6.60,8.28,1.59,0,19
14.70,6.70,8.99,1.84,0,20
11.50,6.30,8.60,1.44,0,21
9.30,6.60,7.62,0.74,0,22
8.80,6.30,7.51,0.63,0,23
9.80,6.20,7.92,0.95,0,24
10.10,6.70,8.34,0.87,0,25
16.50,6.50,8.89,2.62,0,26
8.60,5.60,7.09,0.87,0,27
10.90,5.40,6.86,1.18,0,28
10.90,6.50,8.12,1.17,0,29
9.40,6.60,7.90,0.88,0,30
8,5.20,6.89,0.82,0,31
8.40,5.40,6.90,0.69,0,32
8.80,6.20,7.48,0.69,0,33
9.70,6,7.86,0.93,0,34
9.20,5.40,7.40,0.97,0,35
8.40,6,6.91,0.76,0,36
8.50,5.90,7.30,0.69,0,37
14.20,6,8.34,1.76,0,38
11.10,6.20,8.02,1.12,0,39
10.30,5.90,7.74,1.15,0,40
17.40,6.70,9.32,2.50,0,41
10.90,6.20,8.20,1.12,0,42
11.20,7.70,8.90,0.95,0,43
11.10,7.50,8.91,0.86,0,44
61.60,7.20,11.34,11.87,0,45
11.10,7.40,9.38,1.11,0,46
9.80,7,7.85,0.68,0,47
9.90,7.50,8.81,0.65,0,48
10.90,7.10,8.86,1.23,0,49
9.10,6.40,8.14,0.76,0,50
11,6.60,8.34,1.13,0,51
11.20,6.90,8.71,1.12,0,52
9.70,6.50,7.92,0.90,0,53
12.10,7.40,8.94,1.16,0,54
9.50,6.20,7.91,0.90,0,55
17.30,7,8.95,2.09,0,56
9.90,6.20,8.42,0.88,0,57
10.20,6.90,8.49,0.77,0,58
15.10,6.80,8.65,1.73,0,59
12.20,5.70,7.92,1.28,0,60
14.80,7.20,9.11,2.17,0,61
18.90,5.70,9.13,2.87,0,62
12.10,5.70,7.87,1.36,0,63
10.20,6.90,8.54,1.04,0,64
17.30,6.70,8.74,2.26,0,65
25.40,6.90,8.92,3.98,0,66
8.80,5.50,7.37,0.84,0,67
14,6.30,8.42,1.66,0,68
10.10,7.20,8.52,0.88,0,69
21.40,6.40,9.40,2.97,0,70
11.20,7.30,9.46,1.11,0,71
25.60,7.80,12.05,4.35,0,72
10.50,6.30,7.90,1.11,0,73
10.50,6.40,8.25,1.01,0,74
10.10,4.70,7.30,1.27,0,75
9.70,6.70,8.28,0.91,0,76
9.70,7,8.66,0.83,0,77
10.40,6.10,8.47,1.03,0,78
28.70,6.80,9.63,4.61,0,79
10.30,5.80,8.13,1.08,0,80
11.10,7.40,8.72,0.87,0,81
11.10,6.70,8.80,1.08,0,82
9.20,6.30,7.31,0.71,0,83
9.90,6.50,8.04,0.74,0,84
10.10,5.90,7.85,0.91,0,85
10.20,7,8.37,0.83,0,86
9.20,5.90,7.60,0.91,0,87
13.80,7.60,9.22,1.35,0,88
16.60,6.30,8.61,2.11,0,89
9.70,6,7.25,0.86,0,90
72.70,6.30,13.76,15.37,0,91
9.30,5.70,7.94,0.91,0,92
11.80,7,9.05,1.29,0,93
10.20,7.20,8.34,0.91,0,94
10.60,6.80,8.46,0.88,0,95
9.50,6.70,7.90,0.85,0,96
10.30,6.70,8.61,0.96,0,97
9.70,5.90,7.57,1.17,0,98
9.80,6.60,8.25,0.71,0,99
10.30,5.80,8.01,0.91,0,100
9.20,5.90,7.39,0.95,0,101
12.70,6.80,8.41,1.50,0,102
9.20,5.80,7.49,0.94,0,103
9.80,7,8.48,0.76,0,104
14.20,7.10,8.92,1.73,0,105
9.40,5.90,7.99,1.03,0,106
21.70,6.60,8.85,3.11,0,107
9.70,6.50,7.77,0.82,0,108
17.80,5.50,8.01,2.48,0,109
9.20,5.20,6.68,1,0,110
9.70,5.90,7.16,1.04,0,111
9.60,5.20,7.56,1.07,0,112
29.70,6.50,9.30,4.93,0,113
8.90,5.20,6.56,1.04,0,114
24.20,6.60,9.08,4.08,0,115
8.70,3.90,5.74,1.12,0,116
13.50,4.40,7.32,1.77,0,117
7.90,4.30,6,0.86,0,118
8.50,5.10,6.52,0.82,0,119
12.60,3.10,5.80,1.87,0,120
15.90,4.50,6.56,2.52,0,121
6.90,3,5.44,1,0,122
7.70,4.50,6.09,0.89,0,123
9.30,5.70,7.54,1.05,0,124
13.20,5.80,8.21,1.91,0,125
10.60,6.80,8.10,0.94,0,126
9.50,6.20,8,0.91,0,127
10,6,7.96,0.96,0,128
27.60,6.70,9.18,4.44,0,129
9.90,6.40,7.73,0.74,0,130
29,6.50,9.34,5.64,0,131
7.20,4.50,5.87,0.75,0,132
8.90,5.40,6.56,0.81,0,133
34,4.60,7.78,6.29,0,134
8.60,5.80,6.63,0.75,0,135
7.90,4.10,6.06,0.90,0,136
8.80,3.90,6.05,1.06,0,137
9.80,4.60,6,1.16,0,138
12.10,4.80,6.24,1.58,0,139
8,4.70,6.01,0.82,0,140
7.80,4.30,6.07,0.87,0,141
7.60,4.20,6.13,0.88,0,142
8.50,5.10,6.55,1.02,0,143
8.20,4.60,6.23,1.01,0,144
8.20,4.50,6.48,0.86,0,145
7.30,4.10,6.45,0.78,0,146
8.20,5.10,6.44,0.84,0,147
7.80,5.20,6.44,0.64,0,148
8.50,4.10,6.37,0.94,0,149
7.40,4.80,6.06,0.71,0,150
7.80,4.30,6,0.82,0,151
7.80,5,6.18,0.71,0,152
7.40,4.40,5.73,0.90,0,153
7.40,4.60,5.89,0.77,0,154
12.80,4.40,7.15,2.05,0,155
7.70,4.70,6.31,0.85,0,156
7.90,5.60,6.68,0.69,0,157
7.50,5.20,6.15,0.68,0,158
15.30,4.40,6.72,2.21,0,159
7.30,4.10,5.80,0.81,0,160
11.20,5.20,6.99,1.30,0,161
6.90,4.30,5.49,0.68,0,162
17.20,5.20,7.80,3.06,0,163
8.90,5.30,6.45,0.85,0,164
9.10,5.30,6.95,0.92,0,165
