Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
10.70,7.60,9.09,0.88,0,0
10.60,7.10,8.90,0.93,0,1
10.60,7.50,9.26,0.96,0,2
9.70,7.30,8.86,0.65,0,3
12.30,8.60,10,0.87,0,4
10.50,7.70,9.28,0.85,0,5
11.30,8.10,9.43,0.88,0,6
10.20,8.30,9.11,0.58,0,7
11.70,8.60,9.61,0.68,0,8
10.30,7.70,9.05,0.79,0,9
11.40,7.40,9.51,1.11,0,10
9.90,6.80,8.07,0.85,0,11
12.30,7.70,9.33,1.32,0,12
10.70,7,9.01,0.94,0,13
12,7.90,9.44,1.05,0,14
12.40,8.20,9.92,1.01,0,15
12.60,7.80,10.04,1.17,0,16
12.20,8.10,9.84,0.95,0,17
10.30,6.60,8.99,0.93,0,18
20.10,7.20,9.49,2.65,0,19
10,7,8.29,0.93,0,20
11,7.60,9.12,0.94,0,21
12.50,7.90,9.99,1.30,0,22
10.80,6.90,8.80,0.95,0,23
12.40,7.20,8.90,1.26,0,24
10.70,7.90,9.54,0.79,0,25
11.20,7.10,8.74,1.03,0,26
10.10,6.20,8.24,0.86,0,27
10.50,6.80,8.38,0.97,0,28
11,6.90,8.67,0.90,0,29
11.80,8.50,9.81,0.82,0,30
15.70,8.10,9.70,1.58,0,31
10.90,7.30,8.75,0.99,0,32
9.90,6.80,8.49,0.69,0,33
11.10,7.10,9,1.22,0,34
11.20,7,8.90,1.12,0,35
12.50,6.40,9.13,1.35,0,36
9.90,6.70,8.34,0.76,0,37
11.50,7.40,9.24,1.08,0,38
11.60,7.70,9.70,1.10,0,39
11.30,7.50,9.33,1.11,0,40
11.70,7.40,8.78,1.01,0,41
11.60,7.90,9.60,1.07,0,42
11.10,6.90,9.01,1.04,0,43
12,8,9.31,1.15,0,44
10.70,7.60,8.97,0.90,0,45
10.90,6.90,9.24,1.23,0,46
11.80,6.60,9.04,1.37,0,47
10.60,7.30,8.70,0.83,0,48
10.20,7.40,8.74,0.71,0,49
10.60,6.70,8.64,1.06,0,50
11.30,7.60,9.10,0.90,0,51
10.60,6.20,8.67,1.06,0,52
10.80,7.90,9.31,0.76,0,53
10.60,7,8.81,1.04,0,54
11.10,7.40,9.21,1.05,0,55
10.70,5.90,8.65,1.22,0,56
9.60,6.90,8.06,0.88,0,57
9.50,5.90,8.06,0.88,0,58
9.10,6.40,7.61,0.75,0,59
10.80,6.20,7.73,1.02,0,60
10.40,5.40,7.36,1.07,0,61
10.40,6.50,8.39,1.21,0,62
8.30,5.90,7.09,0.69,0,63
10.20,6,7.18,0.93,0,64
8.60,4.60,6.52,1.01,0,65
7.90,4.70,6.46,0.86,0,66
10.40,5.30,6.63,1.12,0,67
8.50,5.30,6.99,0.90,0,68
7,4.20,5.64,0.81,0,69
11.60,7.90,9.34,0.83,0,70
12.20,7.50,9.68,1.12,0,71
11,7.90,9.33,0.82,0,72
10.30,7.40,8.83,0.75,0,73
11.40,6.40,8.40,1.12,0,74
10,7.50,8.51,0.79,0,75
11,7.30,9.14,1.10,0,76
10,7.10,8.99,0.76,0,77
10.50,6.30,7.82,1.10,0,78
8.20,5.40,6.90,0.85,0,79
9.50,5.70,7.52,1.11,0,80
9.20,6.30,7.82,0.78,0,81
10.30,6,7.96,1.01,0,82
8.10,5.80,7.21,0.63,0,83
10,5.80,7.45,0.91,0,84
8.50,5.30,6.94,0.79,0,85
10.10,6.40,8.98,0.92,0,86
8.60,4.30,6.69,0.99,0,87
9,6.20,7.64,0.65,0,88
9.20,6.30,7.56,0.86,0,89
