Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
12.10,8.40,10.14,1.03,0,0
11.90,6.60,9.18,1.31,0,1
12.40,7.80,9.81,1.11,0,2
11.80,7.80,10.35,0.97,0,3
11.80,7.40,9.24,0.93,0,4
14,9.30,11.74,1.31,0,5
11.70,8,10.32,0.98,0,6
11.10,7.80,9.55,0.94,0,7
12.40,8.10,9.35,1.10,0,8
12.10,9.70,10.75,0.69,0,9
13.70,9.90,11.76,1.17,0,10
13.80,8.10,9.88,1.64,0,11
12.30,8.60,10.17,1.09,0,12
12.70,8.10,9.87,1.20,0,13
12.30,7.30,9.54,1.43,0,14
13.70,8.30,10.36,1.42,0,15
12.50,8.10,10.17,1.25,0,16
12,7.30,9.78,1.31,0,17
13,9.40,11.36,0.93,0,18
13.30,8.90,10.65,1.09,0,19
11.70,8.40,10.17,0.91,0,20
12.60,8.10,10.36,1.38,0,21
11.60,6.60,9.62,1.15,0,22
11.40,7.20,8.87,1.11,0,23
13.40,10,12.02,0.93,0,24
13.90,11,12.47,0.82,0,25
12.80,7.90,9.99,1.18,0,26
11.10,6.70,8.87,0.95,0,27
11.10,7.80,9.63,0.89,0,28
14.30,9.60,11.63,1.20,0,29
13,10,11.75,0.77,0,30
14.40,9.70,11.01,1.02,0,31
15.20,9,10.97,1.30,0,32
14.30,9.80,11.54,1.07,0,33
14,8.80,10.94,1.27,0,34
11.80,6.90,9.49,1.57,0,35
11.30,7.40,9.60,1.26,0,36
11,5.50,8.63,1.21,0,37
10.90,6.40,8.88,0.98,0,38
11.50,7.80,9.65,0.97,0,39
10.70,8,9.14,0.79,0,40
14.30,9.40,11.86,1.14,0,41
14.10,8.80,12.38,1.42,0,42
16.20,10,11.97,1.43,0,43
14.20,10.40,12.17,1.05,0,44
14.70,9.50,11.97,1.20,0,45
12.50,8.80,10.89,0.98,0,46
11.90,7.80,9.89,1.18,0,47
13.20,8.10,10.73,1.27,0,48
13.70,9.20,11.08,1,0,49
13.70,8.20,10.95,1.45,0,50
12.40,8.60,10.83,0.98,0,51
15.20,8.70,11.13,1.73,0,52
13.70,9.60,10.92,1.10,0,53
11.80,9.10,10.42,0.83,0,54
11.10,7.50,9.38,1.08,0,55
11.50,7.10,9.23,1.42,0,56
10.30,6.70,8.66,1.07,0,57
12,6.50,9.62,1.38,0,58
11.70,7.10,9.49,1.31,0,59
11.20,6.60,9.07,1.12,0,60
12.20,7,8.94,1.36,0,61
11.90,7.50,9.41,1.19,0,62
10.80,6.70,8.71,1.19,0,63
14.10,6,9.66,1.79,0,64
13.70,9.90,11.80,1.22,0,65
12.80,9.30,10.83,0.94,0,66
11.40,7.20,8.92,1.08,0,67
11.90,8,9.67,1.07,0,68
11.80,7.20,9.82,1.11,0,69
11.60,7.70,9.48,1.09,0,70
12.60,6.90,9.84,1.46,0,71
11.60,6.60,8.71,1.30,0,72
15.40,9.70,11.75,1.29,0,73
12.50,8.60,10.82,1.22,0,74
14.60,9.80,11.73,1.29,0,75
13.80,10.20,11.73,0.92,0,76
13.80,10,11.67,1.11,0,77
13,8.10,11.25,1.10,0,78
16,6.90,9.77,2.29,0,79
16.30,10.30,12.59,1.65,0,80
13.40,8.40,10.78,1.59,0,81
13.30,9.70,11.44,1.08,0,82
16.70,11.20,13.21,1.14,0,83
16.40,11,13.45,1.57,0,84
15.20,10.10,12.61,1.49,0,85
14.20,9.10,11.50,1.20,0,86
17,10.60,13.12,1.67,0,87
12.70,7.70,10.19,1.49,0,88
14.10,9.60,12.41,1.14,0,89
16.10,10.90,12.39,1.29,0,90
12,7.50,9.34,1.11,0,91
13.50,9.30,11.17,1.10,0,92
16.80,9.10,13.14,1.97,0,93
15.70,10,11.93,1.57,0,94
13.90,8.60,11.26,1.47,0,95
15.50,9.30,11.27,1.54,0,96
14.20,8,11.28,1.38,0,97
13.30,7.30,10.31,1.85,0,98
16.50,12.10,13.91,1.31,0,99
16.30,11.80,14.02,1.25,0,100
12.80,8.90,10.81,1.08,0,101
13.60,8.90,11.61,1.42,0,102
13.70,8.50,10.48,1.33,0,103
14.40,9.30,10.95,1.40,0,104
16.10,10.40,13.49,1.47,0,105
17.30,11.90,14.26,1.24,0,106
14,9,11.58,1.22,0,107
18.60,7.60,11.30,2.22,0,108
14.10,8.60,10.60,1.50,0,109
15.30,8.70,10.96,1.56,0,110
18.30,12.70,15.05,1.26,0,111
14.20,8.90,10.95,1.52,0,112
13.40,9,11,1.19,0,113
17.40,10.60,13.01,1.50,0,114
13.80,8.20,11.25,1.71,0,115
13.20,8.30,11.22,1.32,0,116
13.30,9,10.88,1.21,0,117
