Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
31.60,25.80,27.33,1.56,0,0
28.60,23.40,26.04,1.47,0,1
29.80,23.30,26.89,1.53,0,2
30.50,25.50,27.91,1.65,0,3
47.80,20.20,27.19,5.75,0,4
30.90,23.60,27.40,1.81,0,5
29.70,24.30,26.58,1.42,0,6
25.30,22.10,23.92,0.96,0,7
31.80,24.10,27.09,2,0,8
27.90,23.20,25.40,1.23,0,9
28.60,20.50,23.76,2.42,0,10
31.80,24,27.26,1.88,0,11
31.40,22.10,27.36,2.27,0,12
28.10,23.40,26.28,1.16,0,13
31.30,24.90,27.60,1.84,0,14
27.70,23.30,24.82,1.10,0,15
29.30,23.80,26.33,1.61,0,16
28.50,23.20,25.88,1.41,0,17
27.80,21.20,24.97,1.39,0,18
29.50,23.50,25.64,1.57,0,19
27.30,22.20,24.53,1.49,0,20
46.10,25.10,30.10,4.75,0,21
28.60,23.20,26.48,1.14,0,22
28.30,23.40,25.34,1.17,0,23
27.50,23.60,25.32,1.07,0,24
28.70,22.60,25.10,1.47,0,25
25.90,20.80,23.60,1.49,0,26
27.30,21.60,23.82,1.42,0,27
27.10,23.20,25.27,1.28,0,28
27.90,23.40,25.51,1.39,0,29
31.10,22.20,25.08,2.11,0,30
29.60,23.80,26.41,1.57,0,31
29.10,23.60,25.89,1.50,0,32
27.50,22.60,24.67,1.34,0,33
29.30,22.60,25.60,1.79,0,34
28.10,22.50,25.18,1.33,0,35
28.80,24.20,26.13,1.34,0,36
28.30,23.30,25.56,1.54,0,37
28.90,22.50,26.03,1.76,0,38
28.10,23.20,25.42,1.32,0,39
29,22,25.56,1.72,0,40
28.60,22,25.36,1.68,0,41
27.30,22.50,24.79,1.44,0,42
26.90,23.10,25.24,1.12,0,43
27.80,23,25.89,1.21,0,44
29.30,23.70,26.13,1.41,0,45
28.70,23,24.88,1.38,0,46
28.30,23,25.45,1.57,0,47
33.20,25.20,27.82,1.99,0,48
29.30,23.10,26.05,1.69,0,49
28.60,23.90,25.80,1.21,0,50
27.70,21.90,25.40,1.57,0,51
31,24.40,27.02,1.91,0,52
28.10,23.20,25.36,1.40,0,53
27.60,21.80,24.86,1.55,0,54
28.40,24.60,26.31,1.11,0,55
28.10,21.90,25,1.60,0,56
29.80,22.70,25,1.78,0,57
26.80,21.90,23.94,1.59,0,58
27.30,22,24.35,1.24,0,59
14.40,6.90,8.48,1.60,0,60
26.80,22,24.49,1.29,0,61
27.50,22,25.14,1.49,0,62
27.40,19.30,24.35,1.65,0,63
24.70,20.30,23.20,1.05,0,64
32.30,22.30,25.64,1.99,0,65
26.60,22.40,24.25,1.19,0,66
26.90,22.50,24.75,1.23,0,67
26.60,22.70,24.60,0.96,0,68
29.40,22.10,24.85,1.77,0,69
28.30,22.60,25.39,1.38,0,70
29.50,25.90,27.73,0.96,0,71
26.70,21.40,24.39,1.33,0,72
30,23.10,25.63,1.56,0,73
28.20,22.70,25.52,1.36,0,74
29.50,20,24.15,2.24,0,75
27,22.80,24.89,1.27,0,76
29.60,22.70,25.49,1.66,0,77
27.20,20.70,23.60,1.86,0,78
28.30,22.70,26.02,1.49,0,79
37,24.50,27.20,2.58,0,80
31.80,24.10,27.43,1.92,0,81
27.50,22.20,25.10,1.33,0,82
27.30,22,24.77,1.30,0,83
34.70,23.80,26.53,2.31,0,84
28.50,23.30,25.86,1.39,0,85
28.30,24.30,25.93,1.24,0,86
27.90,21.10,24.87,1.86,0,87
27.10,20.70,23.78,1.85,0,88
28.60,21.90,25.06,2.03,0,89
26,18.60,23.36,1.62,0,90
26.90,20.20,23.93,1.58,0,91
28.80,22.90,25.02,1.75,0,92
27.10,23.50,25.27,1.15,0,93
28.50,22.60,25.52,1.20,0,94
26.40,21.60,23.63,1.36,0,95
32,24.50,26.69,1.80,0,96
35,25.50,27.96,2.05,0,97
30.50,22.50,25.63,1.94,0,98
27.50,22.10,25.06,1.58,0,99
29.60,23.60,27.18,1.33,0,100
31.10,24.80,27.69,1.43,0,101
29.60,23.50,26.41,1.27,0,102
28.80,23.80,25.99,1.34,0,103
27.70,21.70,25.24,1.49,0,104
29.90,23.20,26.07,1.86,0,105
31.20,22.10,26.05,2.24,0,106
28.30,23.10,25.41,1.50,0,107
28.30,23.80,25.89,1.48,0,108
29.50,24.40,26.14,1.47,0,109
29.30,23.80,26.94,1.49,0,110
28.40,22.60,25.32,1.37,0,111
31.70,25.70,27.71,1.81,0,112
33.60,24.90,28.14,2.35,0,113
31.30,21.50,25.87,2.31,0,114
30.30,23.90,25.88,1.67,0,115
30.80,23.20,26.14,2.40,0,116
29.60,23.70,27.01,1.38,0,117
30.40,25.20,27.25,1.24,0,118
27.50,23.40,25.60,1.20,0,119
27.10,24.30,25.87,0.78,0,120
32,23.10,28.10,1.80,0,121
26.40,22.40,24.36,1.08,0,122
29.30,22.70,25.27,1.45,0,123
27.60,22.10,25.71,1.26,0,124
30.40,22.50,26.52,1.88,0,125
26.90,20.30,23.35,1.68,0,126
28.60,23.20,25.18,1.48,0,127
27.70,23.40,25.47,1.14,0,128
30.50,24.50,27.47,1.71,0,129
32.80,23.60,26.41,2.22,0,130
27.40,23,25.35,1.31,0,131
26.40,19.60,22.86,1.62,0,132
34.20,23.20,27.28,2.32,0,133
28.60,24,26.55,1.17,0,134
28.10,23.40,25.50,1.49,0,135
29.60,24,26.29,1.38,0,136
29.60,24,26.51,1.70,0,137
25.50,19.80,23.18,1.58,0,138
29.70,21.40,24.24,2.06,0,139
31.10,24,25.99,1.78,0,140
31.90,24.50,27.33,1.67,0,141
28.10,21.90,24.82,1.80,0,142
28.50,22.70,25.45,1.34,0,143
29.90,23.30,26.73,1.73,0,144
29.70,24.50,27,1.68,0,145
30.90,21.30,24.83,2.61,0,146
29.90,22.80,24.92,1.60,0,147
31.20,19.40,25.21,3.18,0,148
32.10,24.90,28.42,2.25,0,149
29.90,24.40,27.38,1.59,0,150
24.20,17.80,21.07,1.73,0,151
35,22.90,25.68,2.49,0,152
26.60,23.10,24.81,0.98,0,153
26.30,20.60,22.75,1.55,0,154
23.20,17.60,20.35,1.45,0,155
28.60,21,25.37,1.79,0,156
29.70,22.80,26.04,1.99,0,157
27.70,19.10,23.25,2.10,0,158
25.40,20.50,22.58,1.42,0,159
30,24.40,26.83,1.60,0,160
31.80,26.20,28.19,1.45,0,161
22.10,16,20.13,1.40,0,162
29.80,21,25.50,2.25,0,163
31.60,19.50,24,2.90,0,164
28.70,24.80,27.13,1.09,0,165
29.60,24,27.07,1.45,0,166
23.40,18.60,20.60,1.33,0,167
24.20,19.10,21.15,1.31,0,168
26.80,22.40,24.62,1.31,0,169
25.70,18.80,22.33,1.54,0,170
23.80,17,19.93,1.87,0,171
28.60,21.70,25.09,1.86,0,172
25.70,20.90,23.54,1.54,0,173
24.80,16.10,20.84,2.06,0,174
28.10,18.50,22.22,2.31,0,175
31,23.90,27.55,1.88,0,176
30.40,24,27.21,2.17,0,177
27.80,20.60,24.52,1.72,0,178
27.60,23.90,25.62,1.04,0,179
29.90,23.80,26.17,1.45,0,180
30.70,23.70,26.65,1.78,0,181
26.10,21.80,23.74,1.07,0,182
25.70,18.90,21.78,1.90,0,183
28,22.60,25.64,1.42,0,184
29.40,24.20,26.93,1.27,0,185
28.60,21.70,24.33,2.02,0,186
29.10,19.20,24.16,2.45,0,187
25.90,20.10,23.30,1.55,0,188
29.90,24.20,27.28,1.68,0,189
28.10,22.60,25.47,1.64,0,190
30.90,20.40,23.76,2.38,0,191
24.30,19,21.62,1.71,0,192
30.70,23.60,28.09,1.71,0,193
31.70,25.40,28.38,1.61,0,194
25.40,6.10,21.54,4.30,0,195
24.10,18.50,22.02,1.40,0,196
26.40,19.70,22.39,1.79,0,197
29.70,23.80,26.54,1.77,0,198
36.90,24.80,28.97,2.35,0,199
22.60,17.50,19.59,1.52,0,200
25.50,20.30,22.81,1.45,0,201
27.60,21.20,25.16,1.72,0,202
27.10,19.40,23.30,2.25,0,203
24.30,16.80,20.32,1.95,0,204
28.30,22,24.74,1.72,0,205
29,25,26.88,1.28,0,206
29.70,18.80,23.69,2.09,0,207
25.20,18.50,21.82,1.52,0,208
28.10,19,22.26,2.23,0,209
32.30,23.90,27.92,2.02,0,210
33.50,27.40,29.86,1.44,0,211
23.10,19.30,21.21,1.27,0,212
24.80,19.80,22.47,1.71,0,213
33.90,23.50,26.97,2.49,0,214
34.30,26,29.59,1.98,0,215
23.40,18.90,21.29,1.11,0,216
33.40,21,24.71,3.03,0,217
26.70,22.70,24.91,1.31,0,218
26.50,18.50,21.53,2.04,0,219
24.30,20,21.15,1.06,0,220
27.60,21.80,24.28,1.67,0,221
27,22.60,24.81,1.21,0,222
31.80,18.10,21.78,2.97,0,223
25.20,17.20,20.69,2.35,0,224
28.50,21.20,24.82,1.83,0,225
23.80,19.10,21.57,1.43,0,226
28.50,23.80,26.39,1.14,0,227
30.80,25.10,27.67,1.51,0,228
24.70,17.50,20.79,1.60,0,229
29.70,18.70,22.92,2.39,0,230
30.90,23.70,27.19,2.12,0,231
32.60,25.20,28.18,1.55,0,232
22.90,16.90,19.90,1.44,0,233
25.50,20,22.40,1.41,0,234
26.70,21.30,24.18,1.13,0,235
30,20.30,23.41,2.41,0,236
23.80,17.90,20.40,1.62,0,237
27.90,22,24.58,1.59,0,238
28.30,22.40,24.94,1.43,0,239
24.50,18.70,21.44,1.68,0,240
24.40,17.50,19.85,1.98,0,241
27.80,19.80,23.35,2.19,0,242
30.80,24.70,26.88,1.81,0,243
33.50,25.90,28.67,1.84,0,244
23.10,18.10,20.39,1.47,0,245
30.50,25.20,28,1.37,0,246
23.20,17.70,20.92,1.50,0,247
33,25.50,28.47,1.65,0,248
28.20,22.30,24.84,1.69,0,249
28,22.40,25.41,1.44,0,250
24.90,19.30,22.19,1.78,0,251
25.30,19,22.30,1.58,0,252
27.70,22.20,24.14,1.57,0,253
29.70,22.90,24.98,1.62,0,254
32.40,20.60,23.93,2.79,0,255
27.50,18.40,21.71,1.90,0,256
27.30,22.10,24.28,1.25,0,257
28.40,22.50,25.19,1.40,0,258
30.40,20,23.46,2.30,0,259
24,17.40,20.50,1.69,0,260
29,19.60,24.06,2.44,0,261
25.10,21.60,22.96,0.98,0,262
25.20,17.90,21.34,1.62,0,263
21.30,16.20,19.06,1.49,0,264
31.60,23.10,26.28,2.09,0,265
26.60,20.60,23.23,1.62,0,266
30.30,24.40,27.15,1.97,0,267
27.90,22.90,25.59,1.40,0,268
28.50,22.20,24.23,1.68,0,269
32.90,25.30,28.12,2.10,0,270
27.90,24.30,25.95,1.13,0,271
26.30,19.20,22.10,1.54,0,272
29.60,22.30,25.07,1.95,0,273
32,23.10,25.16,2.07,0,274
30.30,19.40,22.23,2.25,0,275
27.10,19.90,22.86,1.76,0,276
29.20,21.90,25.12,1.58,0,277
28.20,22.60,25.31,1.32,0,278
27.50,20.10,23.22,1.80,0,279
25,19.30,22.85,1.54,0,280
26.80,21.40,24.28,1.65,0,281
26.90,21.40,23.91,1.82,0,282
29.80,22.60,25.14,1.82,0,283
29.50,24,26.43,1.35,0,284
28.60,23.10,26.26,1.20,0,285
23.50,18.70,21.44,1.16,0,286
27.90,20.80,23.75,1.71,0,287
24.90,19.50,22.62,1.49,0,288
27.60,21.60,24.23,1.74,0,289
25,18,22.18,1.86,0,290
26.60,18.90,22.31,2.06,0,291
26.90,18.70,22.85,2.05,0,292
26.50,18.60,22.71,2.06,0,293
25.30,19.10,22.67,1.63,0,294
25.60,20.30,23.14,1.39,0,295
27.40,17.40,21.86,2.40,0,296
27,22.20,24.04,1.29,0,297
27.60,18.30,22.50,2.78,0,298
25.70,19.70,22.71,1.62,0,299
32.40,21.20,25.10,2.49,0,300
25.60,20.20,22.56,1.32,0,301
25.20,20,22.56,1.64,0,302
27.40,22.50,24.35,1.46,0,303
31.70,22,25.96,2.28,0,304
25.90,18.40,21.20,1.75,0,305
24.20,20.80,22.55,0.88,0,306
24.60,19.20,22.11,1.60,0,307
27.50,21.60,24.42,1.38,0,308
30.10,20.90,23.61,2.15,0,309
27,19.50,23.10,1.95,0,310
26.20,18.90,22.40,2.19,0,311
27.10,21.90,24.36,1.44,0,312
22.50,17.90,20.73,1.20,0,313
29.90,21.50,26.49,2.46,0,314
25.30,19.80,22.74,1.74,0,315
