Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
22.90,16.90,20.19,1.69,0,0
23.90,16.50,20.68,2.07,0,1
22.80,16.30,20.62,1.52,0,2
25.20,16.80,21.80,2.18,0,3
24.60,17.60,20.77,1.97,0,4
26.80,18.10,21.35,2.07,0,5
24.50,18.40,21.31,1.80,0,6
24,17.80,20.64,1.31,0,7
23.70,17,20.55,1.67,0,8
22.50,15.70,20,1.65,0,9
23.30,17.90,20.62,1.51,0,10
25.60,16.70,20.26,2.03,0,11
25.20,18.20,21.14,2.07,0,12
23.30,17.70,20.22,1.61,0,13
23.70,16.90,20.62,2.08,0,14
23.30,16.40,20.70,1.86,0,15
26.90,19.10,22.77,2.22,0,16
22.90,17.50,20.97,1.31,0,17
24.10,17.40,21.28,1.75,0,18
23.30,17.10,20.19,1.57,0,19
23.50,15.60,20.05,1.83,0,20
23.70,18.40,21.17,1.45,0,21
24.10,18.60,20.92,1.45,0,22
22.70,17.30,20.21,1.46,0,23
25.30,17.80,21.34,2.21,0,24
28.80,18,21.12,2.40,0,25
23.80,18.10,21.12,1.66,0,26
25.10,18.40,20.69,1.65,0,27
27.50,18.50,21.26,2.41,0,28
24,18.60,20.50,1.33,0,29
23.50,15.30,19.69,1.83,0,30
24.90,17.70,20.76,1.77,0,31
24.60,17.60,20.75,2.01,0,32
24.20,18.40,20.92,1.68,0,33
24.40,17.60,21.06,1.61,0,34
24.60,17.20,20.53,2.26,0,35
24,17.40,19.96,1.91,0,36
33.70,18.70,23.24,3.42,0,37
25.10,19.30,21.86,1.71,0,38
28.70,18.20,20.86,2.37,0,39
23.40,17.90,20.83,1.66,0,40
24,15.10,20.13,2.22,0,41
24.30,15.60,20.28,2.23,0,42
24.90,17.10,19.68,1.92,0,43
22,17,19.49,1.58,0,44
31.10,17.60,22.49,3.40,0,45
24,15.40,20.31,2.06,0,46
24.50,18,20.93,1.65,0,47
29.80,16.80,21.31,2.81,0,48
24.80,17.80,21.38,1.41,0,49
23.30,17.10,20.82,1.64,0,50
26.10,17.50,21.50,2.35,0,51
24.10,17.30,20.99,1.93,0,52
25.80,18.10,21.59,2.12,0,53
25.60,17.20,20.24,2.20,0,54
23.60,17.20,19.79,1.70,0,55
22,18.20,20.14,1.09,0,56
25,16.70,20.68,1.96,0,57
24,18.10,20.60,1.55,0,58
22.90,17,20.26,1.51,0,59
23.60,17,20.38,1.87,0,60
24.20,16.90,20.71,1.69,0,61
37.10,16.10,20.26,4.53,0,62
84.399990,18.40,24.92,14.25,0,63
24.90,17.40,20.96,1.89,0,64
25.20,18.60,21.46,1.90,0,65
24,17.90,21.17,1.48,0,66
22.60,15.40,19.80,2.10,0,67
32.60,17.60,21.74,3.39,0,68
25.30,18.20,21.53,1.69,0,69
26.50,18,20.96,2.19,0,70
