Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
22.50,16.40,19.64,1.75,0,0
22.10,17.10,19.70,1.42,0,1
22.40,16.50,18.88,1.73,0,2
23.90,15.50,19.45,2.23,0,3
22.40,15.50,19.03,1.84,0,4
26.10,13.80,19.30,2.69,0,5
21.70,13.70,18.28,1.91,0,6
22.10,14.10,17.24,2.08,0,7
23.10,16.60,19.07,1.72,0,8
21.90,14.80,19,1.83,0,9
24.90,17.80,19.65,1.57,0,10
23.30,15.10,19.31,2.18,0,11
24.80,16.80,19.89,2.21,0,12
23,15.80,19.35,2,0,13
22.60,13.80,19.09,2.34,0,14
20,15.30,17.95,1.26,0,15
19.30,15.20,17.21,1.29,0,16
20.80,16.80,18.56,1.22,0,17
21.50,14.90,18.58,1.86,0,18
24.60,17.30,20.20,1.98,0,19
19.50,14.20,17.40,1.55,0,20
22.30,16.10,18.51,1.90,0,21
84,17.50,22.77,14.47,0,22
22.40,15,19.31,1.75,0,23
22.90,15.10,19.15,1.78,0,24
21.90,15.20,17.83,1.77,0,25
22.90,17.20,19.90,1.77,0,26
20.90,15.50,17.42,1.34,0,27
22.40,14.80,18.36,2.31,0,28
22.90,16.10,19.15,1.67,0,29
83.50,14.90,22.23,14.56,0,30
20.40,12.70,16.86,1.94,0,31
23.80,15.20,17.83,1.89,0,32
20.10,11.60,17.19,2.02,0,33
20.70,16.10,18.38,1.31,0,34
25.20,16.20,19.02,2.20,0,35
21,14,18.07,2.03,0,36
24.10,12.60,19.15,2.62,0,37
20.90,15.60,18.90,1.54,0,38
20.80,14.80,17.11,1.80,0,39
24.20,13.70,16.88,2.47,0,40
20.40,14.20,17.79,1.84,0,41
21.90,15.80,18.81,1.76,0,42
27.10,15.20,19.71,2.86,0,43
84.40,15.60,21.92,14.83,0,44
21.90,16.30,18.79,1.64,0,45
84.30,14.40,21.17,15.01,0,46
21.40,15.80,18.79,1.43,0,47
23,14.50,18.59,2.19,0,48
23,14.70,19.20,1.83,0,49
23.20,14.70,18.74,2.48,0,50
23,16,18.23,2.03,0,51
23.30,15.60,18.79,2.12,0,52
22.40,14.70,18.72,1.76,0,53
23.40,15.90,18.68,1.92,0,54
20,14.30,17.74,1.57,0,55
21.40,16.40,18.98,1.53,0,56
20.70,14.40,17.47,2.10,0,57
24.40,15,19.14,2.14,0,58
22.20,16.10,19.08,1.61,0,59
21.30,14.50,18.44,1.80,0,60
22.20,12.70,17.83,2.39,0,61
22.50,13,18.53,2.56,0,62
23.50,14.70,18.59,2.44,0,63
23.50,14.90,19.93,2.22,0,64
22,14.20,18.60,2.25,0,65
22.80,15.30,18.01,1.82,0,66
21.10,14.80,17.85,1.84,0,67
22.40,15,18.16,1.98,0,68
22.40,15.40,19.11,2.09,0,69
22.60,14.10,18.20,2.32,0,70
22.10,15.30,18.39,1.80,0,71
19.90,14.60,17.65,1.31,0,72
24.90,17.20,19.71,1.72,0,73
21.80,17,19.22,1.35,0,74
22.40,15.70,18.26,1.88,0,75
20.90,14.80,17.39,1.50,0,76
21.30,14.60,17.36,1.83,0,77
21.70,13.70,17.82,1.91,0,78
21,15.30,17.95,1.59,0,79
24,14,18.97,2.24,0,80
24.20,14.50,18.27,2.75,0,81
21.10,13.20,16.35,1.94,0,82
21.20,15.40,18.50,1.76,0,83
21.80,13.60,17.68,2.08,0,84
21.30,14.40,18.03,1.65,0,85
22.60,13.70,18.29,2.10,0,86
22.80,15.70,19.08,1.78,0,87
84.50,14.90,21.78,14.89,0,88
21.20,13.90,18.91,1.61,0,89
20.40,14.10,18.18,1.61,0,90
20.80,13.10,18.24,2.02,0,91
22.30,15.80,19.23,1.92,0,92
84.100010,15.60,22.68,14.61,0,93
22.90,16.60,19.73,2.01,0,94
24.50,16.20,18.85,2.11,0,95
24.40,15,19.24,2.12,0,96
24.30,16.70,19.98,1.80,0,97
22.20,14.90,19.16,1.73,0,98
23.50,16.20,19.46,1.85,0,99
22.50,15.70,19.61,1.76,0,100
26.30,16,19.99,2.31,0,101
24.30,14,20.27,2.65,0,102
22.80,14.20,19.42,2.31,0,103
24.80,16.20,20.47,1.94,0,104
24.90,18.40,21.38,1.63,0,105
23.40,16.10,19.31,1.95,0,106
25.40,16.10,20.49,2.73,0,107
26,17.50,21.14,2.33,0,108
26.30,16.50,20.16,2.41,0,109
23.80,16.70,20.51,1.93,0,110
