Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
37.10,32.20,34.74,1.38,0,0
40.50,32.80,35.78,2.13,0,1
39.70,30.60,33.61,2.36,0,2
37.30,31.70,34.92,1.64,0,3
44.60,33.80,37.33,2.42,0,4
42.50,34.80,38.40,2.11,0,5
38.50,33.30,36.45,1.55,0,6
49.70,35.10,39.26,3.65,0,7
44.20,34.50,38.22,2.21,0,8
84.20,33,38.05,11.05,0,9
84.10,32,38.56,11.13,0,10
43.40,34.70,38.07,2.41,0,11
40.70,32.80,36.38,2.48,0,12
41.70,35.70,38.49,1.48,0,13
84.20,33.90,39.38,10.73,0,14
43.40,34.60,39.10,1.99,0,15
43,34.60,38.80,2.06,0,16
38.40,31.40,35.41,1.59,0,17
38.40,33,35.97,1.48,0,18
43.20,34.40,37.70,2.35,0,19
40.50,33.10,36.71,1.82,0,20
43.70,35.20,39.14,2.29,0,21
43.40,36,38.34,1.87,0,22
41.20,35,37.76,1.75,0,23
42.80,36,39.57,1.90,0,24
40.10,34.50,37.81,1.55,0,25
42.50,32.40,37.68,2.37,0,26
40.30,32.70,37.32,2.04,0,27
41.50,34.90,37.82,1.66,0,28
41.80,33.10,36.86,2.36,0,29
42.40,36.30,38.64,1.70,0,30
83.90,35,39.75,10.54,0,31
42.40,34.60,38.22,2,0,32
41.60,34.30,37.44,1.94,0,33
41.10,34,37.62,1.68,0,34
53.50,33.30,38.20,4.16,0,35
42.90,34.20,37.50,2.02,0,36
45.70,34.80,38.42,2.64,0,37
84.50,36.80,40.57,10.44,0,38
43.70,33.60,37.68,2.12,0,39
46.50,36.50,39.87,3.31,0,40
42.80,34.90,38.57,2.33,0,41
46.70,34,38.87,2.94,0,42
40.50,31.20,36.29,2.12,0,43
47.60,33.70,37.89,3.07,0,44
42.10,35.90,38.86,1.84,0,45
40.30,33.50,37,1.73,0,46
39.70,33,37.29,1.84,0,47
40,34.50,37.14,1.56,0,48
39.70,32.40,35.66,2,0,49
84,35.50,40.35,10.45,0,50
42.70,33.20,38.28,2.54,0,51
42.20,36.20,39.22,1.74,0,52
41.50,33,36.42,2.08,0,53
39.40,31.30,35.77,2.21,0,54
41.30,32.60,35.74,2.06,0,55
41.80,33.80,37.08,2.16,0,56
40.70,32.70,36.34,2.21,0,57
36.60,32,34.27,1.26,0,58
43.30,34,37.43,2.25,0,59
40.30,33.60,36.22,1.70,0,60
42.20,33.60,36.95,2.37,0,61
84.20,31.80,38.36,10.95,0,62
41.50,35.30,37.57,1.88,0,63
41,33.30,38.31,2.17,0,64
39.50,32,36.16,2.01,0,65
40.80,33.60,36.78,2.18,0,66
40.10,31.40,36.37,2.42,0,67
43.30,35.10,38.41,2.39,0,68
41.80,33.90,38.06,1.88,0,69
84.30,33.10,38.43,10.89,0,70
84.600010,34.50,39.49,10.86,0,71
39.80,32.70,36.85,1.84,0,72
41,34.90,38.42,1.95,0,73
39.60,33.20,36.29,1.75,0,74
38.90,32.80,36.57,1.63,0,75
41,34.10,37.19,1.96,0,76
43.50,37.60,40.56,1.70,0,77
44.40,34.20,38.05,2.12,0,78
40.90,35.10,37.58,1.77,0,79
41.30,35,37.93,1.58,0,80
42.10,35.10,38.41,1.74,0,81
41.50,34.90,38.26,2.04,0,82
40.40,33.30,36.57,1.70,0,83
46.50,35.90,38.37,2.36,0,84
39.50,32.90,36.88,1.50,0,85
41.20,34.10,38.54,1.72,0,86
41.10,35.60,38.61,1.58,0,87
41.40,35.30,38.40,1.60,0,88
41,36.30,38.69,1.34,0,89
42.40,32.80,37.13,2.43,0,90
39.70,32.30,35.29,1.97,0,91
40.30,30.90,35.75,2.19,0,92
40.70,34,37.09,1.85,0,93
40.20,33.70,36.54,1.69,0,94
42.40,33.40,38.55,2.39,0,95
39.70,33.70,37.48,1.61,0,96
41.10,35.80,38.53,1.64,0,97
40.40,33.10,36.82,2.14,0,98
45,33.90,38.08,3.14,0,99
38.20,30.40,34.24,2.02,0,100
40.50,33,36.65,1.93,0,101
47.20,33.40,38.18,3.09,0,102
42.40,33.80,36.41,2.02,0,103
23.50,16.60,19.97,1.98,0,104
40.80,33.90,37.23,1.80,0,105
39.80,31.80,36.28,1.89,0,106
40.40,34,37.01,1.48,0,107
54.70,36.20,39.95,4.08,0,108
53.10,36.10,41.88,4.65,0,109
42.40,35,39.40,2.07,0,110
42.50,33.30,37.99,2.29,0,111
42,34.10,37.95,2.25,0,112
52.30,34.40,40.24,4.01,0,113
46.60,37.10,41.10,2.59,0,114
42.70,34.20,37.40,2.29,0,115
41.50,35.20,38,1.85,0,116
44.80,34.50,38.76,2.40,0,117
